,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,105.18,,139.15,167 kWh,"1,231.86",13-06-2017,13-07-2017,223.64,14.76,T-1,"1,714.59"
1,104.74,2.20,138.58,151 kWh,"1,094.46",13-05-2017,13-06-2017,202.67,13.38,T-1,"1,556.03"
2,102.06,2.42,142.14,155 kWh,"1,109.43",12-04-2017,13-05-2017,205.08,13.54,T-1,"1,574.67"
3,101.64,,141.55,175 kWh,"1,247.45",14-03-2017,12-04-2017,225.83,14.91,T-1,"1,731.38"
4,101.24,2.14,140.98,157 kWh,"1,114.78",11-02-2017,14-03-2017,205.59,13.57,T-1,"1,578.30"
5,100.82,2.15,140.40,152 kWh,"1,074.80",14-01-2017,11-02-2017,199.38,13.16,T-1,"1,530.71"
6,100.44,,139.87,154 kWh,"1,084.95",15-12-2016,14-01-2017,200.78,13.25,T-1,"1,539.29"
7,100.03,2.28,139.29,179 kWh,"1,255.81",12-11-2016,15-12-2016,226.51,14.95,T-1,"1,738.87"
8,99.61,9.73,138.72,167 kWh,"1,166.56",12-10-2016,12-11-2016,212.84,14.05,T-1,"1,641.51"
9,99.21,2.14,138.17,201 kWh,"1,398.27",10-09-2016,12-10-2016,247.80,16.36,T-1,"1,901.95"
10,98.81,3.28,137.60,156 kWh,"1,080.70",12-08-2016,10-09-2016,199.54,13.17,T-1,"1,533.10"
11,98.41,2.50,137.05,184 kWh,"1,278.28",12-07-2016,12-08-2016,229.33,15.14,T-1,"1,760.71"
