,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,86.25,361 kWh,"2,385.74",11-09-2017,12-10-2017,136.59,21.16,-434.46,T-J,"2,273.99"
1,78.39,85.90,327 kWh,"2,132.70",12-08-2017,11-09-2017,119.00,18.64,-432.73,T-J,"2,001.90"
2,78.07,85.55,395 kWh,"2,608.55",12-07-2017,12-08-2017,152.43,23.41,-430.95,T-J,"2,517.06"
3,77.75,85.20,372 kWh,"2,434.68",12-06-2017,12-07-2017,140.39,21.69,-429.13,T-J,"2,330.58"
4,77.42,84.85,324 kWh,"2,058.05",12-05-2017,12-06-2017,114.79,18.02,-418.17,T-J,"1,934.96"
5,75.45,87.02,288 kWh,"1,784.27",11-04-2017,12-05-2017,,15.30,-416.45,T-J,"1,545.59"
6,75.13,86.66,313 kWh,"1,948.35",13-03-2017,11-04-2017,107.35,16.95,-414.78,T-J,"1,819.66"
7,74.83,86.32,320 kWh,"1,962.40",10-02-2017,13-03-2017,108.45,17.10,-413.06,T-J,"1,836.04"
8,74.52,85.96,298 kWh,"1,804.60",13-01-2017,10-02-2017,,15.54,-411.52,T-J,"1,569.10"
9,74.24,85.64,323 kWh,"1,967.44",14-12-2016,13-01-2017,109.03,17.18,-409.82,T-J,"1,843.71"
10,73.93,85.29,420 kWh,"2,613.70",11-11-2016,14-12-2016,154.39,23.65,-408.12,T-J,"2,542.84"
11,73.63,84.93,380 kWh,"2,333.74",12-10-2016,11-11-2016,134.91,20.86,-406.49,T-J,"2,241.58"
