,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,,29.72,126 kWh,690.45,12-10-2017,11-11-2017,4.09,-16.57,-8.72,-364.69,T-0,413.31
1,78.71,,29.60,131 kWh,725.80,11-09-2017,12-10-2017,4.26,-16.50,-8.68,-383.35,T-0,429.84
2,78.39,0.64,29.48,112 kWh,578.60,12-08-2017,11-09-2017,3.56,-16.43,-8.65,-305.61,T-0,359.98
3,78.07,2.90,29.36,140 kWh,787.94,12-07-2017,12-08-2017,4.54,-16.37,-8.61,-416.18,T-0,461.65
4,77.75,1.43,29.24,134 kWh,739.53,12-06-2017,12-07-2017,4.31,-16.30,-8.58,-390.60,T-0,436.78
5,77.42,,29.12,116 kWh,594.22,12-05-2017,12-06-2017,3.62,-16.23,-8.54,-313.52,T-0,366.09
6,20.13,,29.87,98 kWh,458.23,11-04-2017,12-05-2017,2.53,-3.87,-9.37,-241.57,T-0,255.95
7,20.04,,29.75,86 kWh,390.37,13-03-2017,11-04-2017,2.21,-3.85,-9.33,-205.79,T-0,223.40
8,19.96,,29.63,81 kWh,361.44,10-02-2017,13-03-2017,2.07,-3.84,-9.30,-190.54,T-0,209.42
9,74.52,,29.50,113 kWh,557.38,13-01-2017,10-02-2017,3.44,-14.32,-9.26,-293.83,T-0,347.43
10,74.24,0.95,29.39,108 kWh,519.33,11-12-2016,13-01-2017,3.26,-14.26,-9.22,-273.78,T-0,329.91
11,19.73,,29.27,80 kWh,351.58,09-11-2016,11-12-2016,2.02,-3.79,-9.19,-185.35,T-0,204.27
