,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.68,9.30,87.32,227 kWh,"1,440.44",09-12-2017,09-01-2018,,16.07,T-0,"1,632.81"
1,79.36,21.04,86.96,293 kWh,"1,912.04",07-11-2017,09-12-2017,,20.78,T-0,"2,120.18"
2,79.03,13.76,86.60,266 kWh,"1,709.25",07-10-2017,07-11-2017,,18.75,T-0,"1,907.39"
3,78.71,211.64,86.25,268 kWh,"1,716.61",06-09-2017,07-10-2017,,18.82,T-0,"2,112.03"
4,78.39,243.87,85.90,279 kWh,"1,788.08",07-08-2017,06-09-2017,,19.52,T-0,"2,215.76"
5,78.07,20.85,85.55,280 kWh,"1,788.08",07-07-2017,07-08-2017,,19.52,T-0,"1,992.07"
6,77.75,13.36,85.20,282 kWh,"1,794.86",07-06-2017,07-07-2017,,19.58,T-0,"1,990.75"
7,77.42,25.50,84.85,298 kWh,"1,868.65",08-05-2017,07-06-2017,,20.31,T-0,"2,076.73"
8,75.45,17.71,87.02,332 kWh,"2,085.86",06-04-2017,08-05-2017,146.01,22.48,T-0,"2,434.53"
9,75.13,7.16,86.66,315 kWh,"1,960.56",08-03-2017,06-04-2017,137.24,21.22,T-0,"2,287.97"
10,74.83,12.63,86.32,286 kWh,"1,755.17",06-02-2017,08-03-2017,,19.16,T-0,"1,948.11"
11,74.52,,85.96,242 kWh,"1,448.99",09-01-2017,06-02-2017,,16.09,T-0,"1,625.56"
