,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,78.07,0.54,85.55,218 kWh,"1,346.97",08-07-2017,08-08-2017,,15.11,T-0,"1,526.24"
1,77.75,,85.20,169 kWh,994.05,08-06-2017,08-07-2017,,11.57,T-0,"1,168.57"
2,77.42,2.45,84.85,290 kWh,"1,814.88",09-05-2017,08-06-2017,,19.77,T-0,"1,999.37"
3,75.45,3.33,87.02,257 kWh,"1,570.12",07-04-2017,09-05-2017,,17.33,T-0,"1,753.25"
4,75.13,1.84,86.66,212 kWh,"1,255.19",09-03-2017,07-04-2017,,14.17,T-0,"1,432.99"
5,74.83,0.56,86.32,196 kWh,"1,141.19",07-02-2017,09-03-2017,,13.02,T-0,"1,315.92"
6,74.52,,85.96,179 kWh,"1,020.97",10-01-2017,07-02-2017,,11.81,T-0,"1,193.26"
7,74.24,,85.64,210 kWh,"1,227.17",10-12-2016,10-01-2017,,13.87,T-0,"1,400.92"
8,73.93,3.06,85.29,246 kWh,"1,464.83",08-11-2016,10-12-2016,,16.24,T-0,"1,643.35"
9,73.63,2.01,84.93,247 kWh,"1,465.28",08-10-2016,08-11-2016,,16.24,T-0,"1,642.09"
10,73.34,6.20,84.60,306 kWh,"1,853.84",07-09-2016,08-10-2016,129.77,20.12,T-0,"2,167.87"
11,73.04,3.17,84.25,315 kWh,"1,906.10",08-08-2016,07-09-2016,133.43,20.63,T-0,"2,220.62"
