,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.68,87.32,206 kWh,"1,288.09",11-12-2017,10-01-2018,14.55,T-0,"1,469.64"
1,79.36,86.96,287 kWh,"1,869.09",08-11-2017,11-12-2017,20.35,T-0,"2,055.76"
2,79.03,86.60,269 kWh,"1,731.20",09-10-2017,08-11-2017,18.97,T-0,"1,915.80"
3,78.71,86.25,246 kWh,"1,559.12",07-09-2017,09-10-2017,17.24,T-0,"1,741.32"
4,78.39,85.90,249 kWh,"1,573.93",08-08-2017,07-09-2017,17.38,T-0,"1,755.60"
5,78.07,85.55,253 kWh,"1,596.14",08-07-2017,08-08-2017,17.60,T-0,"1,777.36"
6,77.75,85.20,265 kWh,"1,674.63",08-06-2017,08-07-2017,18.38,T-0,"1,855.96"
7,77.42,84.85,297 kWh,"1,863.38",09-05-2017,08-06-2017,20.26,T-0,"2,045.91"
8,75.45,87.02,299 kWh,"1,859.11",07-04-2017,09-05-2017,20.22,T-0,"2,041.80"
9,75.13,86.66,262 kWh,"1,597.74",09-03-2017,07-04-2017,17.60,T-0,"1,777.13"
10,74.83,86.32,261 kWh,"1,584.82",07-02-2017,09-03-2017,17.46,T-0,"1,763.43"
11,74.52,85.96,256 kWh,"1,544.37",10-01-2017,07-02-2017,17.05,T-0,"1,721.90"
