,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.03,5.76,86.60,214 kWh,"1,335.21",11-10-2017,10-11-2017,15.01,T-0,"1,521.61"
1,78.71,12.74,86.25,219 kWh,"1,365.73",09-09-2017,11-10-2017,15.31,T-0,"1,558.74"
2,78.39,,85.90,205 kWh,"1,259.89",11-08-2017,09-09-2017,14.24,T-0,"1,438.42"
3,78.07,3.44,85.55,206 kWh,"1,262.14",11-07-2017,11-08-2017,14.26,T-0,"1,443.46"
4,77.75,2.69,85.20,212 kWh,"1,299.44",10-06-2017,11-07-2017,14.62,T-0,"1,479.70"
5,77.42,4.78,84.85,211 kWh,"1,268.76",11-05-2017,10-06-2017,14.31,T-0,"1,450.12"
6,75.45,5.68,87.02,216 kWh,"1,288.49",10-04-2017,11-05-2017,14.51,T-0,"1,471.15"
7,75.13,13.69,86.66,201 kWh,"1,180.34",11-03-2017,10-04-2017,13.42,T-0,"1,369.24"
8,74.83,206.80,86.32,194 kWh,"1,127.96",09-02-2017,11-03-2017,12.89,T-0,"1,508.80"
9,74.52,8.17,85.96,180 kWh,"1,028.13",12-01-2017,09-02-2017,11.89,T-0,"1,208.67"
10,74.24,9.85,85.64,228 kWh,"1,349.39",11-12-2016,12-01-2017,15.09,T-0,"1,534.21"
11,73.93,203.39,85.29,218 kWh,"1,276.19",09-11-2016,11-12-2016,14.35,T-0,"1,653.15"
12,73.93,12.39,85.29,218 kWh,"1,276.19",09-11-2016,15-12-2016,14.35,T-0,"1,462.15"
