,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,2.63,142.03,620 kWh,"4,667.84",11-11-2017,14-12-2017,728.70,48.10,T-1,"5,589.30"
1,4.29,141.44,587 kWh,"4,400.41",12-10-2017,11-11-2017,688.09,45.42,T-1,"5,279.65"
2,10.46,140.87,595 kWh,"4,442.54",11-09-2017,12-10-2017,694.39,45.83,T-1,"5,334.09"
3,13.76,140.29,621 kWh,"4,617.49",12-08-2017,11-09-2017,720.80,47.58,T-1,"5,539.92"
4,15.12,139.73,633 kWh,"4,687.88",12-07-2017,12-08-2017,731.38,48.28,T-1,"5,622.39"
5,21.71,139.15,560 kWh,"4,130.17",12-06-2017,12-07-2017,646.80,42.69,T-1,"4,980.52"
6,8.84,138.58,663 kWh,"4,801.78",12-05-2017,12-06-2017,748.46,49.40,T-1,"5,747.06"
7,17.23,142.14,707 kWh,"5,059.75",11-04-2017,12-05-2017,788.09,52.02,T-1,"6,059.23"
8,,141.55,558 kWh,"3,977.06",13-03-2017,11-04-2017,623.97,41.19,T-1,"4,783.77"
9,14.04,140.98,563 kWh,"3,997.02",10-02-2017,13-03-2017,626.91,41.38,T-1,"4,820.33"
10,2.79,140.40,462 kWh,"3,266.38",13-01-2017,10-02-2017,516.13,34.07,T-1,"3,959.77"
11,5.09,139.87,521 kWh,"3,669.95",14-12-2016,13-01-2017,577.19,38.10,T-1,"4,430.20"
