,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.68,9.85,87.32,323 kWh,"2,139.63",14-12-2017,14-01-2018,149.77,23.07,T-0,"2,489.32"
1,79.36,7.47,86.96,458 kWh,"3,108.09",11-11-2017,14-12-2017,217.57,32.74,T-0,"3,532.19"
2,79.03,8.48,86.60,419 kWh,"2,813.48",12-10-2017,11-11-2017,196.94,29.79,T-0,"3,214.32"
3,78.71,6.74,86.25,477 kWh,"3,218.75",11-09-2017,12-10-2017,225.31,33.84,T-0,"3,649.60"
4,78.39,8.25,85.90,476 kWh,"3,198.28",12-08-2017,11-09-2017,223.88,33.63,T-0,"3,628.33"
5,78.07,8.73,85.55,468 kWh,"3,128.52",12-07-2017,12-08-2017,219.00,32.92,T-0,"3,552.79"
6,77.75,4.62,85.20,415 kWh,"2,739.71",12-06-2017,12-07-2017,191.78,29.03,T-0,"3,128.09"
7,77.42,7.47,84.85,446 kWh,"2,907.84",12-05-2017,12-06-2017,203.55,30.70,T-0,"3,311.83"
8,75.45,5.11,87.02,438 kWh,"2,816.75",11-04-2017,12-05-2017,197.17,29.79,T-0,"3,211.29"
9,75.13,3.90,86.66,377 kWh,"2,387.07",13-03-2017,11-04-2017,167.09,25.49,T-0,"2,745.34"
10,74.83,4.71,86.32,385 kWh,"2,432.39",10-02-2017,13-03-2017,170.27,25.94,T-0,"2,794.46"
11,74.52,6.91,85.96,351 kWh,"2,191.07",13-01-2017,10-02-2017,153.37,23.52,T-0,"2,535.35"
