,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,75.45,,29.87,141 kWh,768.49,08-04-2017,10-05-2017,,4.45,-14.50,-9.37,-405.13,T-0,449.26
1,75.13,,29.75,142 kWh,772.47,10-03-2017,08-04-2017,,4.46,-14.44,-9.33,-407.22,T-0,450.82
2,74.83,,29.63,145 kWh,791.27,08-02-2017,10-03-2017,,4.55,-14.38,-9.30,-417.13,T-0,459.47
3,74.52,,29.50,133 kWh,701.49,11-01-2017,08-02-2017,,4.12,-14.32,-9.26,-369.80,T-0,416.25
4,74.24,5.55,85.64,215 kWh,"1,261.20",11-12-2016,11-01-2017,,14.21,,,,T-0,"1,440.84"
5,73.93,7.05,85.29,334 kWh,"2,058.56",09-11-2016,11-12-2016,144.10,22.18,,,,T-0,"2,391.11"
6,73.63,,84.93,284 kWh,"1,714.04",10-10-2016,09-11-2016,,18.73,,,,T-0,"1,891.33"
7,73.34,,84.60,320 kWh,"1,947.96",08-09-2016,10-10-2016,136.36,21.06,,,,T-0,"2,263.32"
8,73.04,,84.25,330 kWh,"2,006.29",09-08-2016,08-09-2016,140.44,21.64,,,,T-0,"2,325.66"
9,72.75,4.70,83.91,179 kWh,"1,003.71",09-07-2016,09-08-2016,,11.60,,,,T-0,"1,176.67"
10,73.20,8.43,83.56,155 kWh,842.68,09-06-2016,09-07-2016,,9.99,,,,T-0,"1,017.86"
11,72.90,,28.56,150 kWh,806.05,10-05-2016,09-06-2016,,4.59,-14.62,-8.96,-425.05,T-0,463.47
