,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.68,1.82,87.32,253 kWh,"1,631.24",17-12-2017,16-01-2018,,17.98,T-0,"1,818.04"
1,79.36,,86.96,273 kWh,"1,769.53",16-11-2017,17-12-2017,,19.36,T-0,"1,955.21"
2,79.03,,86.60,263 kWh,"1,690.00",17-10-2017,16-11-2017,,18.56,T-0,"1,874.19"
3,78.71,,86.25,231 kWh,"1,453.49",17-09-2017,17-10-2017,,16.18,T-0,"1,634.63"
4,78.39,,85.90,231 kWh,"1,447.43",17-08-2017,17-09-2017,,16.12,T-0,"1,627.84"
5,78.07,,85.55,270 kWh,"1,719.50",17-07-2017,17-08-2017,,18.83,T-0,"1,901.95"
6,77.75,,85.20,293 kWh,"1,875.61",16-06-2017,17-07-2017,,20.39,T-0,"2,058.95"
7,77.42,1.16,84.85,276 kWh,"1,731.06",17-05-2017,16-06-2017,,18.93,T-0,"1,913.42"
8,75.45,14.94,87.02,342 kWh,"2,157.71",17-04-2017,17-05-2017,151.04,23.20,T-0,"2,509.36"
9,75.13,,86.66,350 kWh,"2,203.65",17-03-2017,17-04-2017,154.26,23.65,T-0,"2,543.35"
10,74.83,0.87,86.32,369 kWh,"2,324.48",14-02-2017,17-03-2017,162.71,24.86,T-0,"2,674.07"
11,74.52,,85.96,277 kWh,"1,688.89",17-01-2017,14-02-2017,,18.49,T-0,"1,867.86"
