,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,20.13,1.34,29.87,88 kWh,402.86,08-04-2017,10-05-2017,1.32,-3.87,-9.37,-201.43,-106.20,T-J,134.65
1,75.13,,29.75,139 kWh,750.70,10-03-2017,08-04-2017,2.59,-14.44,-9.33,-375.35,-197.87,T-J,261.18
2,74.83,,29.63,123 kWh,619.66,08-02-2017,10-03-2017,2.18,-14.38,-9.30,-315.97,-166.58,T-J,220.07
3,74.52,0.21,29.50,126 kWh,630.38,11-01-2017,08-02-2017,2.14,-14.32,-9.26,-325.49,-171.60,T-J,216.08
4,74.24,,29.39,134 kWh,683.72,11-12-2016,11-01-2017,2.25,-14.26,-9.22,-353.04,-186.12,T-J,226.96
5,73.93,0.20,29.27,133 kWh,673.97,09-11-2016,11-12-2016,2.22,-14.21,-9.19,-347.99,-183.46,T-J,224.74
6,73.63,,29.15,129 kWh,643.48,10-10-2016,09-11-2016,2.16,-14.15,-9.15,-332.26,-175.16,T-J,217.70
7,73.34,0.30,29.03,135 kWh,682.14,08-09-2016,10-10-2016,2.23,-14.09,-9.11,-352.22,-185.69,T-J,225.93
8,73.04,0.26,28.91,130 kWh,645.04,09-08-2016,08-09-2016,2.15,-14.03,-9.07,-333.06,-175.58,T-J,217.66
9,72.75,,83.91,151 kWh,760.47,09-07-2016,09-08-2016,2.74,-13.98,-9.04,-404.89,-215.37,T-J,276.59
10,73.20,,28.68,131 kWh,615.87,09-06-2016,09-07-2016,1.79,-14.68,-9.00,-337.38,-177.92,T-J,180.56
11,72.90,0.18,28.56,141 kWh,677.76,10-05-2016,09-06-2016,1.89,-14.62,-8.96,-371.31,-195.79,T-J,190.61
