,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,29.12,124 kWh,655.02,15-05-2017,14-06-2017,3.91,-16.23,-8.54,-345.65,T-0,395.05
1,75.45,29.87,115 kWh,579.13,15-04-2017,15-05-2017,3.55,-14.50,-9.37,-305.31,T-0,358.82
2,75.13,29.75,106 kWh,511.25,15-03-2017,15-04-2017,3.23,-14.44,-9.33,-269.51,T-0,326.08
3,74.83,29.63,107 kWh,516.40,12-02-2017,15-03-2017,3.25,-14.38,-9.30,-272.24,T-0,328.19
4,19.88,29.50,84 kWh,376.42,15-01-2017,12-02-2017,2.14,-3.82,-9.26,-198.43,T-0,216.43
5,19.80,29.39,98 kWh,451.20,16-12-2016,15-01-2017,2.50,-3.81,-9.22,-237.86,T-0,252.00
6,73.93,29.27,108 kWh,517.46,15-11-2016,16-12-2016,3.24,-14.21,-9.19,-272.80,T-0,327.70
7,73.63,29.15,116 kWh,572.28,13-10-2016,15-11-2016,3.50,-14.15,-9.15,-301.68,T-0,353.58
8,73.34,29.03,121 kWh,605.37,12-09-2016,13-10-2016,3.65,-14.09,-9.11,-319.13,T-0,369.06
9,73.04,28.91,112 kWh,539.21,13-08-2016,12-09-2016,3.34,-14.03,-9.07,-284.26,T-0,337.14
10,72.75,28.80,126 kWh,639.14,13-07-2016,13-08-2016,3.81,-13.98,-9.04,-336.98,T-0,384.50
11,19.53,28.68,77 kWh,332.16,13-06-2016,13-07-2016,1.92,-3.92,-9.00,-175.16,T-0,194.21
