,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,1.99,84.85,194 kWh,"1,149.51",10-05-2017,27-06-2017,13.12,,,,T-0,"1,326.89"
2,77.42,1.99,84.85,296 kWh,"1,858.28",10-05-2017,09-06-2017,20.21,,,,T-0,"2,042.75"
3,75.45,,29.87,115 kWh,578.63,08-04-2017,10-05-2017,3.55,-14.50,-9.37,-305.05,T-0,358.58
4,12.78,196.25,29.75,,,10-03-2017,08-04-2017,0.43,,,,T-0,239.21
5,12.73,0.93,29.63,4 kWh,9.70,08-02-2017,10-03-2017,0.35,-2.45,-9.30,-5.11,T-0,36.48
6,19.88,,29.50,64 kWh,267.08,11-01-2017,08-02-2017,1.63,-3.82,-9.26,-140.80,T-0,164.21
7,19.80,1.67,29.39,78 kWh,342.19,11-12-2016,11-01-2017,1.98,-3.81,-9.22,-180.39,T-0,201.61
8,16.14,,29.27,49 kWh,184.04,09-11-2016,11-12-2016,1.20,-3.10,-9.19,-97.02,T-0,121.34
9,12.52,211.68,29.15,2 kWh,4.77,10-10-2016,09-11-2016,0.32,-2.41,-9.15,-2.52,T-0,244.36
10,16.00,,29.03,44 kWh,156.91,08-09-2016,10-10-2016,1.07,-3.08,-9.11,-82.71,T-0,108.11
11,19.48,195.76,28.91,87 kWh,384.59,09-08-2016,13-09-2016,2.17,-3.74,-9.07,-202.75,T-0,415.35
13,11.64,195.76,28.91,,,09-08-2016,08-09-2016,0.41,,,,T-0,236.72
14,72.75,0.53,28.80,129 kWh,660.93,09-07-2016,09-08-2016,3.91,-13.98,-9.04,-348.50,T-0,395.40
15,19.53,,28.68,90 kWh,401.57,09-06-2016,09-07-2016,2.25,-3.92,-9.00,-211.77,T-0,227.34
