,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.68,11.68,87.32,179 kWh,"1,092.08",12-12-2017,11-01-2018,12.59,T-0,"1,283.35"
1,79.36,10.57,86.96,204 kWh,"1,268.50",09-11-2017,12-12-2017,14.35,T-0,"1,459.74"
2,79.03,10.42,86.60,178 kWh,"1,075.53",10-10-2017,09-11-2017,12.41,T-0,"1,263.99"
3,78.71,11.20,86.25,190 kWh,"1,157.36",08-09-2017,10-10-2017,13.22,T-0,"1,346.74"
4,78.39,9.30,85.90,178 kWh,"1,066.66",09-08-2017,08-09-2017,12.31,T-0,"1,252.56"
5,78.07,11.69,85.55,173 kWh,"1,026.85",10-07-2017,09-08-2017,11.90,T-0,"1,214.06"
6,77.75,13.65,85.20,180 kWh,"1,072.34",09-06-2017,10-07-2017,12.35,T-0,"1,261.29"
7,77.42,10.52,84.85,204 kWh,"1,218.81",10-05-2017,09-06-2017,13.81,T-0,"1,405.41"
8,75.45,10.28,87.02,216 kWh,"1,288.24",08-04-2017,10-05-2017,14.51,T-0,"1,475.50"
9,75.13,9.08,86.66,177 kWh,"1,015.59",10-03-2017,08-04-2017,11.77,T-0,"1,198.23"
10,74.83,9.27,86.32,183 kWh,"1,052.68",08-02-2017,10-03-2017,12.14,T-0,"1,235.24"
11,74.52,8.34,85.96,163 kWh,912.42,11-01-2017,08-02-2017,10.73,T-0,"1,091.97"
