,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.68,9.18,87.32,212 kWh,"1,332.05",12-12-2017,12-01-2018,14.99,T-0,"1,523.22"
1,79.36,,86.96,223 kWh,"1,406.11",10-11-2017,12-12-2017,15.72,T-0,"1,588.15"
2,79.03,5.76,86.60,214 kWh,"1,335.21",11-10-2017,10-11-2017,15.01,T-0,"1,521.61"
3,78.71,12.74,86.25,219 kWh,"1,365.73",09-09-2017,11-10-2017,15.31,T-0,"1,558.74"
4,78.39,,85.90,205 kWh,"1,259.89",11-08-2017,09-09-2017,14.24,T-0,"1,438.42"
5,78.07,3.44,85.55,206 kWh,"1,262.14",11-07-2017,11-08-2017,14.26,T-0,"1,443.46"
6,77.75,2.69,85.20,212 kWh,"1,299.44",10-06-2017,11-07-2017,14.62,T-0,"1,479.70"
7,77.42,4.78,84.85,211 kWh,"1,268.76",11-05-2017,10-06-2017,14.31,T-0,"1,450.12"
8,75.45,5.68,87.02,216 kWh,"1,288.49",10-04-2017,11-05-2017,14.51,T-0,"1,471.15"
9,75.13,13.69,86.66,201 kWh,"1,180.34",11-03-2017,10-04-2017,13.42,T-0,"1,369.24"
10,74.83,206.80,86.32,194 kWh,"1,127.96",09-02-2017,11-03-2017,12.89,T-0,"1,508.80"
11,74.52,8.17,85.96,180 kWh,"1,028.13",12-01-2017,09-02-2017,11.89,T-0,"1,208.67"
