,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.68,2.35,87.32,249 kWh,"1,600.63",11-12-2017,10-01-2018,13.28,-439.84,T-J,"1,343.42"
1,79.36,4.60,86.96,296 kWh,"1,934.24",08-11-2017,11-12-2017,16.63,-438.03,T-J,"1,683.76"
2,79.03,2.14,86.60,260 kWh,"1,666.34",09-10-2017,08-11-2017,13.96,-436.27,T-J,"1,411.80"
3,78.71,5.15,86.25,278 kWh,"1,788.82",07-09-2017,09-10-2017,15.19,-434.46,T-J,"1,539.66"
4,78.39,4.61,85.90,285 kWh,"1,831.24",08-08-2017,07-09-2017,15.63,-432.73,T-J,"1,583.04"
5,78.07,,85.55,263 kWh,"1,667.32",08-07-2017,08-08-2017,14.00,-430.95,T-J,"1,413.99"
6,77.75,4.26,85.20,266 kWh,"1,681.71",08-06-2017,08-07-2017,14.16,-429.13,T-J,"1,433.95"
7,77.42,4.19,84.85,266 kWh,"1,648.16",09-05-2017,08-06-2017,18.10,,T-0,"1,832.72"
8,75.45,4.85,87.02,264 kWh,"1,618.29",07-04-2017,09-05-2017,17.81,,T-0,"1,803.42"
9,75.13,5.31,86.66,220 kWh,"1,310.00",09-03-2017,07-04-2017,14.72,,T-0,"1,491.82"
10,74.83,1.88,86.32,212 kWh,"1,250.41",07-02-2017,09-03-2017,14.12,,T-0,"1,427.56"
11,74.52,4.99,85.96,201 kWh,"1,170.52",10-01-2017,07-02-2017,13.31,,T-0,"1,349.30"
