,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.36,22.35,86.96,351 kWh,"2,333.11",11-11-2017,13-12-2017,163.32,24.99,T-0,"2,710.09"
1,79.03,17.21,86.60,343 kWh,"2,265.50",12-10-2017,11-11-2017,158.59,24.31,T-0,"2,631.24"
2,78.71,25.14,86.25,333 kWh,"2,184.67",11-09-2017,12-10-2017,152.93,23.50,T-0,"2,551.20"
3,78.39,18.37,85.90,349 kWh,"2,290.02",12-08-2017,11-09-2017,160.30,24.54,T-0,"2,657.52"
4,78.07,16.69,85.55,420 kWh,"2,786.62",12-07-2017,12-08-2017,195.06,29.50,T-0,"3,191.49"
5,77.75,15.26,85.20,375 kWh,"2,455.96",12-06-2017,12-07-2017,171.92,26.19,T-0,"2,832.28"
6,77.42,16.20,84.85,347 kWh,"2,218.24",12-05-2017,12-06-2017,155.28,23.81,T-0,"2,575.80"
7,75.45,17.88,87.02,374 kWh,"2,376.25",11-04-2017,12-05-2017,166.34,25.39,T-0,"2,748.33"
8,75.13,13.43,86.66,320 kWh,"1,996.33",13-03-2017,11-04-2017,139.74,21.58,T-0,"2,332.87"
9,74.83,15.28,86.32,332 kWh,"2,070.52",10-02-2017,13-03-2017,144.94,22.32,T-0,"2,414.21"
10,74.52,17.68,85.96,285 kWh,"1,742.29",13-01-2017,10-02-2017,,19.03,T-0,"1,939.48"
11,74.24,,85.64,327 kWh,"2,020.27",12-12-2016,13-01-2017,141.42,21.80,T-0,"2,343.37"
