,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,29.72,116 kWh,613.30,05-10-2017,04-11-2017,3.73,-16.57,-8.72,-323.94,T-0,376.55
1,78.71,29.60,137 kWh,770.65,04-09-2017,05-10-2017,4.47,-16.50,-8.68,-407.04,T-0,451.21
2,78.39,29.48,133 kWh,737.10,04-08-2017,04-09-2017,4.31,-16.43,-8.65,-389.32,T-0,434.88
3,78.07,29.36,131 kWh,718.98,05-07-2017,04-08-2017,4.22,-16.37,-8.61,-379.76,T-0,425.89
4,77.75,29.24,132 kWh,723.66,05-06-2017,05-07-2017,4.24,-16.30,-8.58,-382.20,T-0,427.81
5,77.42,29.12,136 kWh,737.34,05-05-2017,05-06-2017,4.30,-16.23,-8.54,-388.83,T-0,434.58
6,75.45,29.87,146 kWh,804.29,04-04-2017,05-05-2017,4.62,-14.50,-9.37,-424.01,T-0,466.35
7,75.13,29.75,120 kWh,612.13,06-03-2017,04-04-2017,3.71,-14.44,-9.33,-322.70,T-0,374.25
8,74.83,29.63,126 kWh,653.23,03-02-2017,06-03-2017,3.90,-14.38,-9.30,-344.36,T-0,393.55
9,19.88,29.50,99 kWh,457.64,06-01-2017,03-02-2017,2.53,-3.82,-9.26,-241.25,T-0,255.22
10,74.24,29.39,140 kWh,748.57,05-12-2016,06-01-2017,4.34,-14.26,-9.22,-394.63,T-0,438.43
11,73.93,29.27,136 kWh,716.78,04-11-2016,05-12-2016,4.19,-14.21,-9.19,-377.88,T-0,422.89
