,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.75,3.04,29.24,139 kWh,777.03,10-06-2017,11-07-2017,4.49,-16.30,-8.58,-410.39,T-0,456.28
1,77.42,,29.12,138 kWh,756.25,11-05-2017,10-06-2017,4.39,-16.23,-8.54,-398.96,T-0,443.45
2,75.45,4.59,29.87,137 kWh,739.40,10-04-2017,11-05-2017,4.31,-14.50,-9.37,-389.80,T-0,439.95
3,75.13,,29.75,130 kWh,685.43,11-03-2017,10-04-2017,4.05,-14.44,-9.33,-361.34,T-0,409.25
4,74.83,0.65,29.63,118 kWh,595.80,09-02-2017,11-03-2017,3.62,-14.38,-9.30,-314.09,T-0,366.76
5,19.88,,29.50,90 kWh,408.98,12-01-2017,09-02-2017,2.30,-3.82,-9.26,-215.59,T-0,231.99
6,19.80,,29.39,52 kWh,200.91,11-12-2016,12-01-2017,1.31,-3.81,-9.22,-105.92,T-0,132.46
7,19.73,194.12,29.27,76 kWh,329.92,09-11-2016,11-12-2016,1.92,-3.79,-9.19,-173.94,T-0,388.04
8,73.63,2.16,29.15,118 kWh,586.14,10-10-2016,09-11-2016,3.57,-14.15,-9.15,-308.99,T-0,362.36
9,73.34,,29.03,122 kWh,612.15,08-09-2016,10-10-2016,3.69,-14.09,-9.11,-322.72,T-0,372.29
10,73.04,0.77,28.91,118 kWh,581.32,09-08-2016,08-09-2016,3.54,-14.03,-9.07,-306.46,T-0,358.02
11,72.75,191.86,28.80,119 kWh,590.10,09-07-2016,09-08-2016,3.57,-13.98,-9.04,-311.15,T-0,552.91
