,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,75.45,5.25,87.02,230 kWh,"1,384.15",06-04-2017,08-05-2017,15.47,,,,T-0,"1,567.34"
1,75.13,3.81,86.66,238 kWh,"1,433.09",08-03-2017,06-04-2017,15.95,,,,T-0,"1,614.64"
2,74.83,1.44,86.32,203 kWh,"1,188.76",06-02-2017,08-03-2017,13.50,,,,T-0,"1,364.85"
3,74.52,1.16,85.96,155 kWh,857.74,09-01-2017,06-02-2017,10.18,,,,T-0,"1,029.56"
4,74.24,1.25,85.64,188 kWh,"1,078.04",09-12-2016,09-01-2017,12.38,,,,T-0,"1,251.55"
5,73.93,,85.29,203 kWh,"1,174.67",07-11-2016,09-12-2016,13.34,,,,T-0,"1,347.23"
6,73.63,14.95,84.93,208 kWh,"1,203.17",06-10-2016,07-11-2016,13.62,,,,T-0,"1,390.30"
7,73.34,8.19,84.60,189 kWh,"1,071.04",05-09-2016,06-10-2016,12.29,,,,T-0,"1,249.46"
8,73.04,2.78,28.91,149 kWh,799.89,05-08-2016,05-09-2016,4.57,-14.03,-9.07,-421.68,T-0,464.41
9,72.75,2.84,83.91,182 kWh,"1,024.77",06-07-2016,05-08-2016,11.81,,,,T-0,"1,196.08"
10,73.20,4.30,83.56,186 kWh,"1,049.08",06-06-2016,06-07-2016,12.06,,,,T-0,"1,222.20"
11,72.90,3.42,83.22,202 kWh,"1,151.19",06-05-2016,06-06-2016,13.07,,,,T-0,"1,323.80"
