,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,79.36,25.85,86.96,346 kWh,"2,297.54",13-11-2017,15-12-2017,160.83,24.64,T-0,"2,675.18"
1,79.03,23.56,86.60,349 kWh,"2,309.32",13-10-2017,13-11-2017,161.65,24.75,T-0,"2,684.91"
2,78.71,22.63,86.25,348 kWh,"2,292.73",12-09-2017,13-10-2017,160.49,24.58,T-0,"2,665.39"
3,78.39,24.96,85.90,352 kWh,"2,311.96",14-08-2017,12-09-2017,161.84,24.76,T-0,"2,687.81"
4,78.07,30.58,85.55,402 kWh,"2,659.01",13-07-2017,14-08-2017,186.13,28.23,T-0,"3,067.57"
5,77.75,29.36,85.20,357 kWh,"2,328.64",13-06-2017,13-07-2017,163.00,24.92,T-0,"2,708.87"
6,77.42,26.82,84.85,422 kWh,"2,743.11",13-05-2017,13-06-2017,192.02,29.05,T-0,"3,153.27"
7,75.45,11.44,87.02,453 kWh,"2,920.43",12-04-2017,13-05-2017,204.43,30.83,T-0,"3,329.60"
8,75.13,22.39,86.66,377 kWh,"2,387.43",14-03-2017,12-04-2017,167.12,25.49,T-0,"2,764.22"
9,74.83,20.88,86.32,374 kWh,"2,357.64",11-02-2017,22-03-2017,165.03,25.19,T-0,"2,729.89"
11,74.83,214.19,86.32,374 kWh,"2,357.64",11-02-2017,14-03-2017,165.03,25.19,T-0,"2,923.20"
12,74.52,218.95,85.96,325 kWh,"2,014.56",14-01-2017,11-02-2017,141.02,21.75,T-0,"2,556.76"
13,74.24,25.07,85.64,347 kWh,"2,156.30",15-12-2016,14-01-2017,150.94,23.16,T-0,"2,515.35"
