,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,107.80,,142.62,165 kWh,"1,247.59",15-12-2017,14-01-2018,226.95,14.98,T-1,"1,739.94"
1,107.35,,142.03,175 kWh,"1,317.79",13-11-2017,15-12-2017,237.43,15.67,T-1,"1,820.27"
2,106.91,6.40,141.44,167 kWh,"1,252.18",13-10-2017,13-11-2017,227.33,15.01,T-1,"1,749.27"
3,106.48,5.58,140.87,165 kWh,"1,232.14",12-09-2017,13-10-2017,224.14,14.79,T-1,"1,724.00"
4,106.04,3.50,140.29,165 kWh,"1,227.11",14-08-2017,12-09-2017,223.23,14.73,T-1,"1,714.90"
5,105.62,,139.73,185 kWh,"1,370.36",13-07-2017,14-08-2017,244.78,16.16,T-1,"1,876.65"
6,105.18,,139.15,167 kWh,"1,231.86",13-06-2017,13-07-2017,223.64,14.76,T-1,"1,714.59"
7,104.74,2.20,138.58,151 kWh,"1,094.46",13-05-2017,13-06-2017,202.67,13.38,T-1,"1,556.03"
8,102.06,2.42,142.14,155 kWh,"1,109.43",12-04-2017,13-05-2017,205.08,13.54,T-1,"1,574.67"
9,101.64,,141.55,175 kWh,"1,247.45",14-03-2017,12-04-2017,225.83,14.91,T-1,"1,731.38"
10,101.24,2.14,140.98,157 kWh,"1,114.78",11-02-2017,14-03-2017,205.59,13.57,T-1,"1,578.30"
11,100.82,2.15,140.40,152 kWh,"1,074.80",14-01-2017,11-02-2017,199.38,13.16,T-1,"1,530.71"
