,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,75.45,3.26,87.02,302 kWh,"1,880.01",08-04-2017,10-05-2017,131.60,20.42,,,,T-0,"2,197.76"
1,75.13,,86.66,258 kWh,"1,570.58",10-03-2017,08-04-2017,,17.32,,,,T-0,"1,749.69"
2,74.83,,86.32,253 kWh,"1,530.46",08-02-2017,10-03-2017,,16.92,,,,T-0,"1,708.53"
3,74.52,,85.96,220 kWh,"1,299.86",11-01-2017,08-02-2017,,14.60,,,,T-0,"1,474.94"
4,74.24,1.81,85.64,264 kWh,"1,593.09",11-12-2016,11-01-2017,,17.53,,,,T-0,"1,772.31"
5,73.93,,85.29,195 kWh,"1,121.08",09-11-2016,11-12-2016,,12.80,,,,T-0,"1,293.10"
6,73.63,,84.93,216 kWh,"1,257.34",10-10-2016,09-11-2016,,14.16,,,,T-0,"1,430.06"
7,73.34,,84.60,204 kWh,"1,172.01",08-09-2016,10-10-2016,,13.30,,,,T-0,"1,343.25"
8,73.04,,84.25,266 kWh,"1,580.00",09-08-2016,08-09-2016,,17.37,,,,T-0,"1,754.66"
9,72.75,3.07,83.91,325 kWh,"1,979.86",09-07-2016,09-08-2016,138.59,21.37,,,,T-0,"2,299.55"
10,73.20,,83.56,201 kWh,"1,149.73",09-06-2016,09-07-2016,,13.06,,,,T-0,"1,319.55"
11,72.90,,28.56,119 kWh,587.36,10-05-2016,09-06-2016,,3.56,-14.62,-8.96,-309.74,T-0,359.06
