,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,77.75,2.69,85.20,212 kWh,"1,299.44",10-06-2017,11-07-2017,14.62,T-0,"1,479.70"
1,77.42,4.78,84.85,211 kWh,"1,268.76",11-05-2017,10-06-2017,14.31,T-0,"1,450.12"
2,75.45,5.68,87.02,216 kWh,"1,288.49",10-04-2017,11-05-2017,14.51,T-0,"1,471.15"
3,75.13,13.69,86.66,201 kWh,"1,180.34",11-03-2017,10-04-2017,13.42,T-0,"1,369.24"
4,74.83,206.80,86.32,194 kWh,"1,127.96",09-02-2017,11-03-2017,12.89,T-0,"1,508.80"
5,74.52,8.17,85.96,180 kWh,"1,028.13",12-01-2017,09-02-2017,11.89,T-0,"1,208.67"
6,74.24,9.85,85.64,228 kWh,"1,349.39",11-12-2016,12-01-2017,15.09,T-0,"1,534.21"
7,73.93,203.39,85.29,218 kWh,"1,276.19",09-11-2016,11-12-2016,14.35,T-0,"1,653.15"
8,73.93,12.39,85.29,218 kWh,"1,276.19",09-11-2016,15-12-2016,14.35,T-0,"1,462.15"
10,73.63,,84.93,200 kWh,"1,149.88",10-10-2016,09-11-2016,13.08,T-0,"1,321.52"
11,73.34,21.94,84.60,224 kWh,"1,305.81",08-09-2016,10-10-2016,14.64,T-0,"1,500.33"
12,73.04,7.79,84.25,208 kWh,"1,193.69",09-08-2016,08-09-2016,13.51,T-0,"1,372.28"
13,72.75,199.66,83.91,217 kWh,"1,257.80",09-07-2016,09-08-2016,14.14,T-0,"1,628.26"
