,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,,29.36,77 kWh,354.32,14-07-2017,15-08-2017,1.88,-8.61,-187.15,T-0,189.80
1,,29.24,67 kWh,295.90,14-06-2017,14-07-2017,1.60,-8.58,-156.28,T-0,161.88
2,,29.12,72 kWh,319.81,15-05-2017,14-06-2017,1.72,-8.54,-168.77,T-0,173.34
3,,29.87,74 kWh,325.87,15-04-2017,15-05-2017,1.75,-9.37,-171.79,T-0,176.33
4,,29.75,77 kWh,341.02,15-03-2017,15-04-2017,1.82,-9.33,-179.78,T-0,183.48
5,,29.63,71 kWh,306.75,12-02-2017,15-03-2017,1.65,-9.30,-161.71,T-0,167.02
6,,29.50,63 kWh,261.80,15-01-2017,12-02-2017,1.44,-9.26,-138.02,T-0,145.46
7,,29.39,70 kWh,298.93,16-12-2016,15-01-2017,1.62,-9.22,-157.60,T-0,163.12
8,,29.27,68 kWh,286.89,15-11-2016,16-12-2016,1.56,-9.19,-151.24,T-0,157.29
9,,29.15,78 kWh,339.56,13-10-2016,15-11-2016,1.81,-9.15,-179.00,T-0,182.37
10,192.85,29.03,84 kWh,370.35,12-09-2016,13-10-2016,1.95,-9.11,-195.24,T-0,389.83
11,,28.91,76 kWh,326.04,13-08-2016,12-09-2016,1.74,-9.07,-171.88,T-0,175.74
