,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.91,10.49,141.44,292 kWh,"2,188.95",12-10-2017,11-11-2017,369.25,24.37,T-1,"2,841.41"
1,106.48,11.03,140.87,340 kWh,"2,538.60",11-09-2017,12-10-2017,422.07,27.86,T-1,"3,246.91"
2,106.04,10.23,140.29,318 kWh,"2,364.51",12-08-2017,11-09-2017,395.54,26.11,T-1,"3,042.72"
3,105.62,13.23,139.73,358 kWh,"2,651.27",12-07-2017,12-08-2017,438.84,28.97,T-1,"3,377.66"
4,105.18,10.92,139.15,370 kWh,"2,728.89",12-06-2017,12-07-2017,450.44,29.73,T-1,"3,464.31"
5,104.74,14.25,138.58,403 kWh,"2,918.76",12-05-2017,12-06-2017,479.06,31.62,T-1,"3,687.01"
6,102.06,1.40,142.14,380 kWh,"2,719.52",11-04-2017,12-05-2017,449.00,29.64,T-1,"3,443.76"
7,101.64,,141.55,333 kWh,"2,373.42",13-03-2017,11-04-2017,396.42,26.17,T-1,"3,039.20"
8,101.24,9.15,140.98,312 kWh,"2,215.05",10-02-2017,13-03-2017,372.28,24.57,T-1,"2,863.27"
9,100.82,1.40,140.40,270 kWh,"1,908.94",13-01-2017,10-02-2017,325.75,21.50,T-1,"2,498.81"
10,100.44,,139.87,334 kWh,"2,352.74",14-12-2016,13-01-2017,392.85,25.93,T-1,"3,011.83"
11,100.03,,139.29,415 kWh,"2,911.14",11-11-2016,14-12-2016,477.29,31.50,T-1,"3,659.25"
