,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,87.32,162 kWh,969.09,16-12-2017,15-01-2018,11.36,,,,T-0,"1,147.45"
1,79.36,29.85,132 kWh,739.81,14-11-2017,16-12-2017,4.33,-16.64,-8.76,-390.74,T-0,437.21
2,79.03,29.72,147 kWh,851.42,14-10-2017,14-11-2017,4.85,-16.57,-8.72,-449.71,T-0,490.02
3,78.71,86.25,160 kWh,942.67,13-09-2017,14-10-2017,11.08,,,,T-0,"1,118.71"
4,78.39,29.48,137 kWh,768.58,15-08-2017,13-09-2017,4.45,-16.43,-8.65,-405.95,T-0,449.87
5,78.07,29.36,150 kWh,863.81,14-07-2017,15-08-2017,4.90,-16.37,-8.61,-456.26,T-0,494.90
6,77.75,85.20,153 kWh,881.51,14-06-2017,14-07-2017,10.44,,,,T-0,"1,054.90"
7,77.42,84.85,159 kWh,911.13,15-05-2017,14-06-2017,10.73,,,,T-0,"1,084.13"
8,75.45,87.02,161 kWh,910.63,15-04-2017,15-05-2017,10.73,,,,T-0,"1,083.83"
9,75.13,86.66,155 kWh,865.71,15-03-2017,15-04-2017,5.46,-14.44,-9.33,-457.47,T-0,551.72
10,74.83,86.32,164 kWh,923.68,12-02-2017,15-03-2017,10.85,,,,T-0,"1,095.68"
11,74.52,85.96,152 kWh,838.19,15-01-2017,12-02-2017,9.99,,,,T-0,"1,008.66"
