,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,,29.48,138 kWh,776.60,18-08-2017,18-09-2017,2.66,-16.43,-8.65,-388.30,-205.09,T-J,268.66
1,78.07,,29.36,141 kWh,796.13,18-07-2017,18-08-2017,2.70,-16.37,-8.61,-398.07,-210.25,T-J,272.96
2,77.75,,29.24,137 kWh,762.71,17-06-2017,18-07-2017,2.62,-16.30,-8.58,-381.35,-201.42,T-J,264.67
3,77.42,,29.12,128 kWh,686.52,18-05-2017,17-06-2017,2.44,-16.23,-8.54,-343.27,-181.17,T-J,246.29
4,75.45,,29.87,134 kWh,718.26,18-04-2017,18-05-2017,2.51,-14.50,-9.37,-359.13,-189.33,T-J,253.76
5,75.13,0.37,29.75,149 kWh,824.44,18-03-2017,18-04-2017,2.76,-14.44,-9.33,-412.22,-217.31,T-J,279.15
6,74.83,0.10,29.63,146 kWh,790.52,15-02-2017,18-03-2017,2.61,-14.38,-9.30,-399.67,-210.71,T-J,263.63
7,74.52,0.43,29.50,121 kWh,596.04,18-01-2017,15-02-2017,2.06,-14.32,-9.26,-307.76,-162.25,T-J,208.96
8,74.24,,29.39,138 kWh,712.29,19-12-2016,18-01-2017,2.31,-14.26,-9.22,-367.80,-193.91,T-J,233.04
9,73.93,,85.29,159 kWh,851.50,16-11-2016,19-12-2016,3.45,-14.21,-9.19,-409.18,-232.72,T-J,348.87
10,73.63,0.43,29.15,144 kWh,747.69,17-10-2016,16-11-2016,2.38,-14.15,-9.15,-386.08,-203.54,T-J,240.36
11,73.34,,29.03,138 kWh,703.52,17-09-2016,17-10-2016,2.28,-14.09,-9.11,-363.26,-191.51,T-J,230.20
