,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,,29.85,141 kWh,808.96,14-11-2017,16-12-2017,,4.66,-16.64,-8.76,-427.27,T-0,470.16
1,79.03,39.10,86.60,213 kWh,"1,328.77",14-10-2017,14-11-2017,,14.94,,,,T-0,"1,548.44"
2,78.71,,86.25,249 kWh,"1,581.93",13-09-2017,14-10-2017,,17.47,,,,T-0,"1,764.36"
3,78.39,509.61,85.90,226 kWh,"1,410.96",15-08-2017,13-09-2017,,15.75,,,,T-0,"2,100.61"
4,78.07,16.77,85.55,240 kWh,"1,505.12",14-07-2017,15-08-2017,,16.69,,,,T-0,"1,702.20"
5,77.75,,85.20,259 kWh,"1,633.63",14-06-2017,14-07-2017,,17.97,,,,T-0,"1,814.55"
6,77.42,16.22,84.85,289 kWh,"1,818.30",15-05-2017,14-06-2017,,19.81,,,,T-0,"2,016.60"
7,75.45,36.80,87.02,319 kWh,"1,998.68",15-04-2017,15-05-2017,139.91,21.61,,,,T-0,"2,359.47"
8,75.13,,86.66,320 kWh,"1,997.29",15-03-2017,15-04-2017,139.81,21.59,,,,T-0,"2,320.48"
9,74.83,230.69,86.32,380 kWh,"2,398.96",12-02-2017,15-03-2017,167.93,25.60,,,,T-0,"2,984.33"
10,74.52,229.64,85.96,347 kWh,"2,164.49",15-01-2017,12-02-2017,151.51,23.25,,,,T-0,"2,729.37"
11,74.24,227.19,85.64,390 kWh,"2,448.04",16-12-2016,15-01-2017,171.36,26.08,,,,T-0,"3,032.55"
