,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,78.39,44.16,85.90,460 kWh,"3,083.83",12-08-2017,11-09-2017,215.87,32.48,T-0,"3,540.63"
1,78.07,32.60,85.55,477 kWh,"3,192.62",12-07-2017,12-08-2017,223.48,33.56,T-0,"3,645.88"
2,77.75,,85.20,472 kWh,"3,144.05",12-06-2017,12-07-2017,220.08,33.07,T-0,"3,560.15"
3,77.42,35.06,84.85,493 kWh,"3,235.30",12-05-2017,12-06-2017,226.47,33.98,T-0,"3,693.08"
4,196.53,1.60,161.87,536 kWh,"3,637.50",11-04-2017,12-05-2017,254.63,39.96,T-0,"4,292.09"
5,75.13,76.24,86.66,472 kWh,"3,038.32",13-03-2017,11-04-2017,212.68,32.00,T-0,"3,521.03"
6,194.94,62.11,160.55,512 kWh,"3,347.92",10-02-2017,13-03-2017,234.35,37.03,T-0,"4,036.90"
7,194.13,,159.89,516 kWh,"3,377.25",13-01-2017,10-02-2017,236.41,37.31,T-0,"4,004.99"
8,193.40,,159.29,585 kWh,"4,108.10",14-12-2016,13-01-2017,287.57,44.61,T-0,"4,792.97"
9,192.61,,158.63,613 kWh,"4,391.35",11-11-2016,14-12-2016,307.39,47.43,T-0,"5,097.41"
10,191.81,,157.98,617 kWh,"4,415.29",12-10-2016,11-11-2016,309.07,47.65,T-0,"5,121.80"
11,191.04,,157.35,632 kWh,"4,557.05",10-09-2016,12-10-2016,318.99,49.05,T-0,"5,273.48"
