,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.07,8.32,85.55,247 kWh,"1,552.52",05-07-2017,04-08-2017,12.85,-430.95,T-J,"1,306.36"
1,77.75,,85.20,246 kWh,"1,539.20",05-06-2017,05-07-2017,12.73,-429.13,T-J,"1,285.75"
2,77.42,7.13,84.85,248 kWh,"1,518.50",05-05-2017,05-06-2017,12.63,-418.17,T-J,"1,282.36"
3,75.45,12.37,87.02,266 kWh,"1,631.12",04-04-2017,05-05-2017,13.77,-416.45,T-J,"1,403.28"
4,75.13,8.08,86.66,239 kWh,"1,439.50",06-03-2017,04-04-2017,11.87,-414.78,T-J,"1,206.46"
5,74.83,6.70,86.32,246 kWh,"1,455.54",03-02-2017,06-03-2017,12.04,-413.06,T-J,"1,222.37"
6,74.52,219.52,85.96,210 kWh,"1,204.86",06-01-2017,03-02-2017,9.54,-411.52,T-J,"1,182.88"
7,74.24,,85.64,245 kWh,"1,437.31",05-12-2016,06-01-2017,11.87,-409.82,T-J,"1,199.24"
8,73.93,,85.29,258 kWh,"1,518.80",04-11-2016,05-12-2016,12.70,-408.12,T-J,"1,282.60"
9,73.63,17.10,84.93,255 kWh,"1,492.38",05-10-2016,04-11-2016,12.44,-406.49,T-J,"1,273.99"
10,73.34,10.99,84.60,282 kWh,"1,666.90",03-09-2016,05-10-2016,14.20,-404.82,T-J,"1,445.21"
11,73.04,11.18,84.25,278 kWh,"1,633.17",04-08-2016,03-09-2016,13.87,-403.20,T-J,"1,412.31"
