,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,77.42,35.06,84.85,493 kWh,"3,235.30",12-05-2017,12-06-2017,226.47,33.98,T-0,"3,693.08"
1,196.53,1.60,161.87,536 kWh,"3,637.50",11-04-2017,12-05-2017,254.63,39.96,T-0,"4,292.09"
2,75.13,76.24,86.66,472 kWh,"3,038.32",13-03-2017,11-04-2017,212.68,32.00,T-0,"3,521.03"
3,194.94,62.11,160.55,512 kWh,"3,347.92",10-02-2017,13-03-2017,234.35,37.03,T-0,"4,036.90"
4,194.13,,159.89,516 kWh,"3,377.25",13-01-2017,10-02-2017,236.41,37.31,T-0,"4,004.99"
5,193.40,,159.29,585 kWh,"4,108.10",14-12-2016,13-01-2017,287.57,44.61,T-0,"4,792.97"
6,192.61,,158.63,613 kWh,"4,391.35",11-11-2016,14-12-2016,307.39,47.43,T-0,"5,097.41"
7,191.81,,157.98,617 kWh,"4,415.29",12-10-2016,11-11-2016,309.07,47.65,T-0,"5,121.80"
8,191.04,,157.35,632 kWh,"4,557.05",10-09-2016,12-10-2016,318.99,49.05,T-0,"5,273.48"
9,190.26,,156.70,530 kWh,"3,457.46",12-08-2016,10-09-2016,242.02,38.04,T-0,"4,084.48"
10,189.49,2.40,156.07,537 kWh,"3,539.89",12-07-2016,12-08-2016,247.79,38.85,T-0,"4,174.49"
11,190.69,2.71,155.43,622 kWh,"4,442.61",11-06-2016,12-07-2016,310.98,47.89,T-0,"5,150.31"
