,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,207.58,39.49,162.41,543 kWh,"3,923.91",14-12-2017,14-01-2018,274.67,42.94,T-0,"4,651.00"
1,206.72,5.27,161.74,564 kWh,"4,149.00",11-11-2017,14-12-2017,290.43,45.17,T-0,"4,858.33"
2,79.03,81.28,86.60,492 kWh,"3,339.81",12-10-2017,11-11-2017,233.79,35.05,T-0,"3,855.56"
3,78.71,,86.25,483 kWh,"3,261.84",11-09-2017,12-10-2017,228.33,34.27,T-0,"3,689.40"
4,78.39,44.16,85.90,460 kWh,"3,083.83",12-08-2017,11-09-2017,215.87,32.48,T-0,"3,540.63"
5,78.07,32.60,85.55,477 kWh,"3,192.62",12-07-2017,12-08-2017,223.48,33.56,T-0,"3,645.88"
6,77.75,,85.20,472 kWh,"3,144.05",12-06-2017,12-07-2017,220.08,33.07,T-0,"3,560.15"
7,77.42,35.06,84.85,493 kWh,"3,235.30",12-05-2017,12-06-2017,226.47,33.98,T-0,"3,693.08"
8,196.53,1.60,161.87,536 kWh,"3,637.50",11-04-2017,12-05-2017,254.63,39.96,T-0,"4,292.09"
9,75.13,76.24,86.66,472 kWh,"3,038.32",13-03-2017,11-04-2017,212.68,32.00,T-0,"3,521.03"
10,194.94,62.11,160.55,512 kWh,"3,347.92",10-02-2017,13-03-2017,234.35,37.03,T-0,"4,036.90"
11,194.13,,159.89,516 kWh,"3,377.25",13-01-2017,10-02-2017,236.41,37.31,T-0,"4,004.99"
