,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,85.90,191 kWh,"1,160.60",15-08-2017,13-09-2017,13.25,,,,T-0,"1,338.14"
1,78.07,85.55,205 kWh,"1,255.77",14-07-2017,15-08-2017,14.19,,,,T-0,"1,433.58"
2,77.75,85.20,184 kWh,"1,101.55",14-06-2017,14-07-2017,12.65,,,,T-0,"1,277.15"
3,77.42,84.85,184 kWh,"1,085.98",15-05-2017,14-06-2017,12.48,,,,T-0,"1,260.73"
4,75.45,87.02,231 kWh,"1,392.73",15-04-2017,15-05-2017,15.55,,,,T-0,"1,570.75"
5,75.13,86.66,189 kWh,"1,098.94",15-03-2017,15-04-2017,12.61,,,,T-0,"1,273.34"
6,74.83,86.32,181 kWh,"1,039.84",12-02-2017,15-03-2017,12.01,,,,T-0,"1,213.00"
7,74.52,85.96,160 kWh,892.63,15-01-2017,12-02-2017,10.53,,,,T-0,"1,063.64"
8,74.24,85.64,157 kWh,868.97,15-12-2016,15-01-2017,10.29,,,,T-0,"1,039.14"
9,73.93,29.27,148 kWh,803.70,12-11-2016,15-12-2016,4.60,-14.21,-9.19,-423.69,T-0,464.41
10,73.63,84.93,155 kWh,848.14,13-10-2016,12-11-2016,10.07,,,,T-0,"1,016.77"
11,73.34,84.60,192 kWh,"1,092.36",12-09-2016,13-10-2016,12.50,,,,T-0,"1,262.80"
