,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,77.42,2.95,84.85,151 kWh,853.45,12-05-2017,12-06-2017,5.40,-16.23,-8.54,-450.53,T-0,548.77
1,75.45,7.96,87.02,162 kWh,917.05,11-04-2017,12-05-2017,10.80,,,,T-0,"1,098.28"
2,75.13,3.69,29.75,126 kWh,656.46,13-03-2017,11-04-2017,3.92,-14.44,-9.33,-346.06,T-0,399.12
3,74.83,2.59,86.32,160 kWh,896.12,10-02-2017,13-03-2017,10.57,,,,T-0,"1,070.43"
4,74.52,2.89,29.50,140 kWh,752.20,13-01-2017,10-02-2017,4.36,-14.32,-9.26,-396.54,T-0,443.35
5,74.24,,29.39,128 kWh,663.18,14-12-2016,13-01-2017,3.94,-14.26,-9.22,-349.60,T-0,397.67
6,73.93,4.10,29.27,142 kWh,760.64,11-11-2016,14-12-2016,4.39,-14.21,-9.19,-401.00,T-0,447.93
7,73.63,203.59,29.15,133 kWh,693.22,12-10-2016,11-11-2016,4.07,-14.15,-9.15,-365.44,T-0,614.92
8,73.34,11.35,84.60,159 kWh,871.60,10-09-2016,12-10-2016,5.45,-14.09,-9.11,-461.28,T-0,561.86
9,73.04,67.13,84.25,169 kWh,934.28,12-08-2016,10-09-2016,10.92,,,,T-0,"1,169.62"
10,72.75,11.68,83.91,186 kWh,"1,049.72",12-07-2016,12-08-2016,12.06,,,,T-0,"1,230.12"
11,73.20,50.84,83.56,178 kWh,996.65,11-06-2016,12-07-2016,11.53,,,,T-0,"1,215.78"
