,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.03,5.31,86.60,163 kWh,967.09,07-10-2017,07-11-2017,11.33,,,,T-0,"1,149.36"
1,78.71,6.16,86.25,163 kWh,963.14,06-09-2017,07-10-2017,11.28,,,,T-0,"1,145.54"
2,78.39,5.73,85.90,189 kWh,"1,144.88",07-08-2017,06-09-2017,13.09,,,,T-0,"1,327.99"
3,78.07,13.09,85.55,196 kWh,"1,190.17",07-07-2017,07-08-2017,13.54,,,,T-0,"1,380.42"
4,77.75,,85.20,175 kWh,"1,036.41",07-06-2017,07-07-2017,11.99,,,,T-0,"1,211.35"
5,77.42,,84.85,181 kWh,"1,056.86",08-05-2017,07-06-2017,12.19,,,,T-0,"1,231.32"
6,75.45,,87.02,228 kWh,"1,370.41",06-04-2017,08-05-2017,15.33,,,,T-0,"1,548.21"
7,75.13,,29.75,145 kWh,793.98,08-03-2017,22-04-2017,4.57,-14.44,-9.33,-418.56,T-0,461.10
9,75.13,,86.66,159 kWh,891.94,08-03-2017,06-04-2017,10.54,,,,T-0,"1,064.27"
10,74.83,,29.63,142 kWh,769.28,06-02-2017,08-03-2017,4.45,-14.38,-9.30,-405.54,T-0,448.97
11,74.52,,29.50,131 kWh,686.82,09-01-2017,06-02-2017,4.05,-14.32,-9.26,-362.06,T-0,409.25
12,74.24,,29.39,140 kWh,748.98,09-12-2016,09-01-2017,4.34,-14.26,-9.22,-394.84,T-0,438.63
13,73.93,,85.29,159 kWh,878.26,07-11-2016,09-12-2016,5.49,-14.21,-9.19,-464.82,T-0,554.75
