,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,21.00,2.04,29.60,68 kWh,305.21,11-09-2017,12-10-2017,1.82,-4.40,-8.68,-161.21,T-0,185.38
1,78.39,2.18,29.48,142 kWh,806.25,12-08-2017,11-09-2017,4.63,-16.43,-8.65,-425.84,T-0,470.01
2,78.07,,29.36,123 kWh,659.46,12-07-2017,12-08-2017,3.94,-16.37,-8.61,-348.32,T-0,397.53
3,77.75,6.85,29.24,106 kWh,528.80,12-06-2017,12-07-2017,3.32,-16.30,-8.58,-279.29,T-0,341.79
4,77.42,2.95,84.85,151 kWh,853.45,12-05-2017,12-06-2017,5.40,-16.23,-8.54,-450.53,T-0,548.77
5,75.45,7.96,87.02,162 kWh,917.05,11-04-2017,12-05-2017,10.80,,,,T-0,"1,098.28"
6,75.13,3.69,29.75,126 kWh,656.46,13-03-2017,11-04-2017,3.92,-14.44,-9.33,-346.06,T-0,399.12
7,74.83,2.59,86.32,160 kWh,896.12,10-02-2017,13-03-2017,10.57,,,,T-0,"1,070.43"
8,74.52,2.89,29.50,140 kWh,752.20,13-01-2017,10-02-2017,4.36,-14.32,-9.26,-396.54,T-0,443.35
9,74.24,,29.39,128 kWh,663.18,14-12-2016,13-01-2017,3.94,-14.26,-9.22,-349.60,T-0,397.67
10,73.93,4.10,29.27,142 kWh,760.64,11-11-2016,14-12-2016,4.39,-14.21,-9.19,-401.00,T-0,447.93
11,73.63,203.59,29.15,133 kWh,693.22,12-10-2016,11-11-2016,4.07,-14.15,-9.15,-365.44,T-0,614.92
