,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.71,,86.25,284 kWh,"1,833.34",13-09-2017,14-10-2017,15.64,-434.46,T-J,"1,579.48"
1,78.39,,85.90,246 kWh,"1,554.01",15-08-2017,13-09-2017,12.85,-432.82,T-J,"1,298.33"
2,78.07,,85.55,269 kWh,"1,711.73",14-07-2017,15-08-2017,14.44,-430.95,T-J,"1,458.84"
3,77.75,,85.20,250 kWh,"1,569.78",14-06-2017,14-07-2017,13.03,-429.26,T-J,"1,316.50"
4,77.42,,84.85,251 kWh,"1,553.22",15-05-2017,14-06-2017,12.97,-418.94,T-J,"1,309.52"
5,75.45,,87.02,263 kWh,"1,613.05",15-04-2017,15-05-2017,13.59,-416.59,T-J,"1,372.52"
6,75.13,,86.66,278 kWh,"1,709.26",15-03-2017,15-04-2017,14.56,-414.78,T-J,"1,470.83"
7,74.83,,86.32,264 kWh,"1,581.66",12-02-2017,15-03-2017,13.30,-413.13,T-J,"1,342.98"
8,74.52,,85.96,232 kWh,"1,356.22",15-01-2017,12-02-2017,11.05,-411.64,T-J,"1,116.11"
9,74.24,,85.64,251 kWh,"1,479.99",15-12-2016,15-01-2017,12.30,-409.99,T-J,"1,242.18"
10,73.93,1.73,85.29,285 kWh,"1,703.13",12-11-2016,15-12-2016,14.54,-408.12,T-J,"1,470.50"
11,73.63,,84.93,252 kWh,"1,474.06",13-10-2016,12-11-2016,12.26,-406.49,T-J,"1,238.39"
