,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,131 kWh,734.06,05-12-2017,06-01-2018,4.31,-16.71,-8.79,-387.71,T-0,434.81
1,79.36,29.85,145 kWh,838.32,04-11-2017,05-12-2017,4.79,-16.64,-8.76,-442.79,T-0,484.13
2,79.03,29.72,137 kWh,773.70,05-10-2017,04-11-2017,4.49,-16.57,-8.72,-408.65,T-0,453.00
3,78.71,29.60,146 kWh,839.12,04-09-2017,05-10-2017,4.79,-16.50,-8.68,-443.20,T-0,483.84
4,78.39,85.90,166 kWh,980.18,04-08-2017,04-09-2017,11.44,,,,T-0,"1,155.91"
5,78.07,85.55,155 kWh,897.90,05-07-2017,04-08-2017,10.62,,,,T-0,"1,072.14"
6,77.75,85.20,167 kWh,979.35,05-06-2017,05-07-2017,11.42,,,,T-0,"1,153.72"
7,77.42,84.85,154 kWh,867.75,05-05-2017,05-06-2017,5.47,-16.23,-8.54,-458.49,T-0,552.23
8,75.45,29.87,137 kWh,738.66,04-04-2017,05-05-2017,4.31,-14.50,-9.37,-389.41,T-0,435.01
9,75.13,29.75,142 kWh,771.91,06-03-2017,04-04-2017,4.46,-14.44,-9.33,-406.93,T-0,450.55
10,74.83,86.32,156 kWh,867.75,03-02-2017,06-03-2017,10.29,,,,T-0,"1,039.19"
11,74.52,29.50,122 kWh,621.62,06-01-2017,03-02-2017,3.74,-14.32,-9.26,-327.70,T-0,378.10
