,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio a Jubilados con consumo menor 150kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,,87.32,164 kWh,983.58,15-12-2017,15-01-2018,,7.10,,,-440.76,,T-J,716.92
1,79.36,,86.96,186 kWh,"1,138.82",13-11-2017,15-12-2017,,8.66,,,-438.74,,T-J,875.06
2,79.03,,86.60,181 kWh,"1,097.84",13-10-2017,13-11-2017,,8.27,,,-436.86,,T-J,834.88
3,78.71,,86.25,162 kWh,956.93,12-09-2017,13-10-2017,,6.87,,,-435.26,,T-J,693.50
4,78.39,,29.48,147 kWh,844.36,14-08-2017,12-09-2017,,5.30,,,-422.18,,T-J,535.35
5,78.07,,85.55,160 kWh,934.98,13-07-2017,14-08-2017,,3.94,-16.37,-8.61,-431.79,-248.06,T-J,397.71
6,77.75,,85.20,157 kWh,909.78,13-06-2017,13-07-2017,,6.43,,,-429.99,,T-J,649.17
7,77.42,56.38,84.85,279 kWh,"1,746.21",13-05-2017,13-06-2017,,19.08,,,,,T-0,"1,983.94"
8,75.45,3.26,87.02,310 kWh,"1,935.99",12-04-2017,13-05-2017,135.52,20.98,,,,,T-0,"2,258.22"
9,75.13,6.02,86.66,322 kWh,"2,010.35",14-03-2017,12-04-2017,140.72,21.72,,,,,T-0,"2,340.60"
10,74.83,,86.32,445 kWh,"2,842.51",11-02-2017,14-03-2017,198.98,30.04,,,,,T-0,"3,232.68"
11,74.52,,85.96,307 kWh,"1,892.17",14-01-2017,11-02-2017,132.45,20.53,,,,,T-0,"2,205.63"
