,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.39,4.24,29.48,129 kWh,707.44,11-08-2017,09-09-2017,4.17,-16.43,-8.65,-373.65,T-0,424.99
1,78.07,,29.36,144 kWh,818.05,11-07-2017,11-08-2017,4.68,-16.37,-8.61,-432.08,T-0,473.10
2,77.75,0.66,29.24,138 kWh,769.52,10-06-2017,11-07-2017,4.45,-16.30,-8.58,-406.43,T-0,450.31
3,77.42,4.72,29.12,147 kWh,822.84,11-05-2017,10-06-2017,4.71,-16.23,-8.54,-434.09,T-0,479.95
4,75.45,0.50,87.02,167 kWh,951.32,10-04-2017,11-05-2017,11.14,,,,T-0,"1,125.43"
5,75.13,1.60,86.66,159 kWh,892.55,11-03-2017,10-04-2017,10.54,,,,T-0,"1,066.48"
6,74.83,,86.32,171 kWh,970.95,09-02-2017,11-03-2017,11.32,,,,T-0,"1,143.42"
7,74.52,,29.50,149 kWh,816.99,12-01-2017,09-02-2017,9.21,,,,T-0,930.22
8,74.52,,29.50,140 kWh,752.10,12-01-2017,15-02-2017,4.36,-14.32,-9.26,-396.48,T-0,440.42
10,74.24,,85.64,161 kWh,895.65,11-12-2016,12-01-2017,10.56,,,,T-0,"1,066.09"
11,73.93,0.64,85.29,168 kWh,939.00,09-11-2016,11-12-2016,10.98,,,,T-0,"1,109.84"
12,73.63,,29.15,147 kWh,792.76,10-10-2016,09-11-2016,4.54,-14.15,-9.15,-417.92,T-0,458.86
13,73.34,,84.60,176 kWh,984.74,08-09-2016,10-10-2016,11.43,,,,T-0,"1,154.11"
