,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,85.55,155 kWh,897.90,05-07-2017,04-08-2017,10.62,,,,T-0,"1,072.14"
1,77.75,85.20,167 kWh,979.35,05-06-2017,05-07-2017,11.42,,,,T-0,"1,153.72"
2,77.42,84.85,154 kWh,867.75,05-05-2017,05-06-2017,5.47,-16.23,-8.54,-458.49,T-0,552.23
3,75.45,29.87,137 kWh,738.66,04-04-2017,05-05-2017,4.31,-14.50,-9.37,-389.41,T-0,435.01
4,75.13,29.75,142 kWh,771.91,06-03-2017,04-04-2017,4.46,-14.44,-9.33,-406.93,T-0,450.55
5,74.83,86.32,156 kWh,867.75,03-02-2017,06-03-2017,10.29,,,,T-0,"1,039.19"
6,74.52,29.50,122 kWh,621.62,06-01-2017,03-02-2017,3.74,-14.32,-9.26,-327.70,T-0,378.10
7,74.24,29.39,143 kWh,770.08,05-12-2016,06-01-2017,4.44,-14.26,-9.22,-405.97,T-0,448.70
8,73.93,29.27,149 kWh,809.66,04-11-2016,05-12-2016,4.63,-14.21,-9.19,-426.84,T-0,467.25
9,73.63,29.15,139 kWh,735.15,05-10-2016,04-11-2016,4.27,-14.15,-9.15,-387.54,T-0,431.36
10,73.34,84.60,164 kWh,903.74,03-09-2016,05-10-2016,10.62,,,,T-0,"1,072.30"
11,73.04,84.25,210 kWh,"1,206.05",04-08-2016,03-09-2016,13.63,,,,T-0,"1,376.97"
