,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,106.48,13.78,140.87,422 kWh,"3,150.86",11-09-2017,12-10-2017,514.83,33.98,T-1,"3,960.80"
1,106.04,9.66,140.29,395 kWh,"2,937.06",12-08-2017,11-09-2017,482.28,31.83,T-1,"3,707.16"
2,105.62,11.42,139.73,449 kWh,"3,325.19",12-07-2017,12-08-2017,540.94,35.71,T-1,"4,158.61"
3,105.18,5.60,139.15,444 kWh,"3,274.65",12-06-2017,12-07-2017,533.13,35.19,T-1,"4,092.90"
4,104.74,,138.58,443 kWh,"3,208.43",12-05-2017,12-06-2017,522.94,34.52,T-1,"4,009.21"
5,102.06,5.91,142.14,484 kWh,"3,463.82",11-04-2017,12-05-2017,561.77,37.08,T-1,"4,312.78"
6,101.64,35.12,141.55,477 kWh,"3,399.74",13-03-2017,11-04-2017,551.90,36.43,T-1,"4,266.38"
7,101.24,,140.98,427 kWh,"3,031.47",10-02-2017,13-03-2017,495.96,32.74,T-1,"3,802.39"
8,100.82,4.26,140.40,461 kWh,"3,259.32",13-01-2017,10-02-2017,530.33,35.01,T-1,"4,070.14"
9,100.44,3.42,139.87,525 kWh,"3,697.58",11-12-2016,13-01-2017,596.59,39.38,T-1,"4,577.28"
10,100.03,17.08,139.29,416 kWh,"2,917.19",09-11-2016,11-12-2016,478.21,31.57,T-1,"3,683.37"
11,99.61,29.38,138.72,377 kWh,"2,632.57",10-10-2016,09-11-2016,434.94,28.71,T-1,"3,363.93"
