,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.68,87.32,298 kWh,"1,958.14",15-12-2017,15-01-2018,,16.85,-439.84,T-J,"1,702.15"
1,79.36,86.96,302 kWh,"1,979.00",14-11-2017,15-12-2017,107.87,17.07,-438.03,T-J,"1,832.23"
2,79.03,86.60,297 kWh,"1,934.60",14-10-2017,14-11-2017,,16.64,-436.27,T-J,"1,680.60"
3,78.71,86.25,328 kWh,"2,149.41",13-09-2017,14-10-2017,120.05,18.80,-434.46,T-J,"2,018.76"
4,78.39,85.90,300 kWh,"1,940.29",15-08-2017,13-09-2017,,16.72,-432.73,T-J,"1,688.57"
5,78.07,85.55,353 kWh,"2,310.24",14-07-2017,15-08-2017,131.55,20.43,-430.95,T-J,"2,194.89"
6,77.75,85.20,318 kWh,"2,052.27",14-06-2017,14-07-2017,113.62,17.86,-429.13,T-J,"1,917.57"
7,77.42,84.85,312 kWh,"1,978.84",15-05-2017,14-06-2017,109.25,17.23,-418.17,T-J,"1,849.42"
8,75.45,87.02,321 kWh,"2,012.46",15-04-2017,15-05-2017,111.72,17.58,-416.45,T-J,"1,887.78"
9,75.13,86.66,333 kWh,"2,086.43",15-03-2017,15-04-2017,117.02,18.33,-414.78,T-J,"1,968.79"
10,74.83,86.32,325 kWh,"1,997.14",12-02-2017,15-03-2017,110.89,17.45,-413.06,T-J,"1,873.57"
11,74.52,85.96,280 kWh,"1,682.71",15-01-2017,12-02-2017,,14.32,-411.52,T-J,"1,445.99"
