,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,79.68,,87.32,173 kWh,"1,049.06",15-12-2017,15-01-2018,7.75,-440.70,T-J,783.11
1,79.36,,86.96,181 kWh,"1,102.70",14-11-2017,15-12-2017,8.30,-438.83,T-J,838.49
2,79.03,,86.60,169 kWh,"1,011.48",14-10-2017,14-11-2017,7.40,-437.06,T-J,747.45
3,78.71,,86.25,168 kWh,"1,000.16",13-09-2017,14-10-2017,7.30,-435.28,T-J,737.14
4,78.39,,85.90,185 kWh,"1,117.70",15-08-2017,13-09-2017,8.49,-433.37,T-J,857.11
5,78.07,,85.55,213 kWh,"1,312.76",14-07-2017,15-08-2017,10.45,-431.42,T-J,"1,055.41"
6,77.75,,85.20,159 kWh,924.11,14-06-2017,14-07-2017,6.57,-430.04,T-J,663.59
7,77.42,2.18,84.85,159 kWh,911.13,15-05-2017,14-06-2017,6.50,-423.69,T-J,658.39
8,75.45,1.35,87.02,162 kWh,917.53,15-04-2017,15-05-2017,6.63,-417.35,T-J,670.63
9,75.13,,86.66,170 kWh,968.62,15-03-2017,15-04-2017,7.15,-415.58,T-J,721.98
10,74.83,0.53,86.32,175 kWh,984.82,12-02-2017,15-03-2017,7.32,-413.86,T-J,739.96
11,74.52,,85.96,153 kWh,818.85,15-01-2017,12-02-2017,5.67,-412.26,T-J,572.74
