,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.68,87.32,163 kWh,976.32,15-12-2017,15-01-2018,11.43,T-0,"1,154.75"
1,79.36,86.96,172 kWh,"1,037.50",14-11-2017,15-12-2017,12.04,T-0,"1,215.86"
2,79.03,86.60,195 kWh,"1,198.99",14-10-2017,14-11-2017,13.65,T-0,"1,378.27"
3,78.71,86.25,200 kWh,"1,230.03",13-09-2017,14-10-2017,13.95,T-0,"1,408.94"
4,78.39,85.90,191 kWh,"1,160.60",15-08-2017,13-09-2017,13.25,T-0,"1,338.14"
5,78.07,85.55,205 kWh,"1,255.77",14-07-2017,15-08-2017,14.19,T-0,"1,433.58"
6,77.75,85.20,184 kWh,"1,101.55",14-06-2017,14-07-2017,12.65,T-0,"1,277.15"
7,77.42,84.85,184 kWh,"1,085.98",15-05-2017,14-06-2017,12.48,T-0,"1,260.73"
8,75.45,87.02,231 kWh,"1,392.73",15-04-2017,15-05-2017,15.55,T-0,"1,570.75"
9,75.13,86.66,189 kWh,"1,098.94",15-03-2017,15-04-2017,12.61,T-0,"1,273.34"
10,74.83,86.32,181 kWh,"1,039.84",12-02-2017,15-03-2017,12.01,T-0,"1,213.00"
11,74.52,85.96,160 kWh,892.63,15-01-2017,12-02-2017,10.53,T-0,"1,063.64"
