,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.36,,29.85,139 kWh,793.59,14-11-2017,16-12-2017,4.58,-16.64,-8.76,-419.16,T-0,462.82
1,79.03,,29.72,122 kWh,660.09,14-10-2017,14-11-2017,3.95,-16.57,-8.72,-348.66,T-0,398.84
2,78.71,2.30,29.60,142 kWh,809.86,13-09-2017,14-10-2017,4.65,-16.50,-8.68,-427.75,T-0,472.19
3,78.39,,29.48,117 kWh,616.76,15-08-2017,13-09-2017,3.74,-16.43,-8.65,-325.76,T-0,377.53
4,78.07,4.78,29.36,127 kWh,689.95,14-07-2017,15-08-2017,4.08,-16.37,-8.61,-364.42,T-0,416.84
5,77.75,2.18,85.20,165 kWh,966.69,14-06-2017,14-07-2017,11.30,,,,T-0,"1,143.12"
6,77.42,,29.12,134 kWh,729.25,15-05-2017,14-06-2017,4.26,-16.23,-8.54,-384.82,T-0,430.46
7,75.45,2.53,29.87,134 kWh,717.96,15-04-2017,15-05-2017,4.21,-14.50,-9.37,-378.49,T-0,427.66
8,75.13,2.00,86.66,162 kWh,913.73,15-03-2017,15-04-2017,10.76,,,,T-0,"1,088.28"
9,74.83,5.84,86.32,151 kWh,834.84,12-02-2017,15-03-2017,5.32,-14.38,-9.30,-440.32,T-0,543.15
10,74.52,,29.50,135 kWh,716.33,15-01-2017,12-02-2017,4.19,-14.32,-9.26,-377.61,T-0,423.35
11,74.24,2.20,85.64,180 kWh,"1,024.96",16-12-2016,15-01-2017,11.85,,,,T-0,"1,198.89"
