,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,79.36,,86.96,238 kWh,"1,514.60",09-11-2017,12-12-2017,16.81,T-0,"1,697.73"
1,79.03,,86.60,239 kWh,"1,515.22",10-10-2017,09-11-2017,16.81,T-0,"1,697.66"
2,78.71,,86.25,249 kWh,"1,580.91",08-09-2017,10-10-2017,17.46,T-0,"1,763.33"
3,78.39,,85.90,233 kWh,"1,459.78",09-08-2017,08-09-2017,16.24,T-0,"1,640.31"
4,78.07,,85.55,239 kWh,"1,496.77",10-07-2017,09-08-2017,16.60,T-0,"1,676.99"
5,77.75,,85.20,247 kWh,"1,547.44",09-06-2017,10-07-2017,17.10,T-0,"1,727.49"
6,77.42,2.80,84.85,256 kWh,"1,580.22",10-05-2017,09-06-2017,17.42,T-0,"1,762.71"
7,75.45,,87.02,294 kWh,"1,824.97",08-04-2017,10-05-2017,19.87,T-0,"2,007.31"
8,75.13,,86.66,240 kWh,"1,447.25",10-03-2017,08-04-2017,16.09,T-0,"1,625.13"
9,74.83,,86.32,239 kWh,"1,434.89",08-02-2017,10-03-2017,15.96,T-0,"1,612.00"
10,74.52,,85.96,215 kWh,"1,265.89",11-01-2017,08-02-2017,14.26,T-0,"1,440.63"
11,74.24,,85.64,221 kWh,"1,301.84",11-12-2016,11-01-2017,14.62,T-0,"1,476.34"
