,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,104.74,,138.58,298 kWh,"2,162.67",15-05-2017,14-06-2017,364.51,24.06,T-1,"2,794.56"
1,102.06,,142.14,262 kWh,"1,875.90",15-04-2017,15-05-2017,321.20,21.20,T-1,"2,462.50"
2,101.64,,141.55,310 kWh,"2,210.43",15-03-2017,15-04-2017,371.72,24.54,T-1,"2,849.88"
3,101.24,,140.98,359 kWh,"2,549.39",12-02-2017,15-03-2017,422.93,27.92,T-1,"3,242.46"
4,100.82,,140.40,304 kWh,"2,149.88",15-01-2017,12-02-2017,362.25,23.91,T-1,"2,777.26"
5,100.44,,139.87,299 kWh,"2,106.77",16-12-2016,15-01-2017,355.58,23.47,T-1,"2,726.13"
6,100.03,,139.29,292 kWh,"2,049.08",15-11-2016,16-12-2016,346.69,22.88,T-1,"2,657.97"
7,99.61,,138.72,290 kWh,"2,026.33",13-10-2016,15-11-2016,343.10,22.65,T-1,"2,630.41"
8,99.21,,138.17,330 kWh,"2,296.09",12-09-2016,13-10-2016,383.82,25.33,T-1,"2,942.62"
9,98.81,,137.60,376 kWh,"2,605.37",13-08-2016,12-09-2016,430.53,28.42,T-1,"3,300.73"
10,98.41,22.85,137.05,405 kWh,"2,812.98",13-07-2016,13-08-2016,461.84,30.48,T-1,"3,563.61"
11,99.03,,136.48,394 kWh,"2,736.45",13-06-2016,13-07-2016,450.25,29.72,T-1,"3,451.93"
