,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,2.32,85.55,375 kWh,"2,464.68",08-07-2017,08-08-2017,172.53,26.28,,,,T-0,"2,829.43"
1,77.75,2.56,85.20,332 kWh,"2,149.61",08-06-2017,08-07-2017,150.47,23.13,,,,T-0,"2,488.72"
2,77.42,,84.85,373 kWh,"2,391.16",09-05-2017,08-06-2017,167.38,25.53,,,,T-0,"2,746.34"
3,75.45,13.95,87.02,340 kWh,"2,141.19",07-04-2017,09-05-2017,149.88,23.04,,,,T-0,"2,490.53"
4,75.13,,86.66,262 kWh,"1,597.74",09-03-2017,07-04-2017,,17.60,,,,T-0,"1,777.13"
5,74.83,4.73,86.32,285 kWh,"1,748.61",07-02-2017,09-03-2017,,19.10,,,,T-0,"1,933.59"
6,74.52,,85.96,256 kWh,"1,544.37",10-01-2017,07-02-2017,,17.05,,,,T-0,"1,721.90"
7,74.24,2.12,29.39,107 kWh,511.96,10-12-2016,10-01-2017,,3.22,-14.26,-9.22,-269.90,T-0,327.55
8,19.73,,29.27,99 kWh,454.33,08-11-2016,10-12-2016,,2.51,-3.79,-9.19,-239.52,T-0,253.34
9,19.64,0.54,29.15,71 kWh,301.53,08-10-2016,08-11-2016,,1.78,-3.77,-9.15,-158.96,T-0,180.76
10,19.57,1.07,29.03,92 kWh,412.97,07-09-2016,08-10-2016,,2.31,-3.76,-9.11,-217.71,T-0,234.37
11,19.48,,28.91,72 kWh,304.38,08-08-2016,07-09-2016,,1.80,-3.74,-9.07,-160.46,T-0,181.30
