,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,75.45,,29.87,139 kWh,754.22,12-04-2017,13-05-2017,4.38,-14.50,-9.37,-397.61,T-0,442.44
1,75.13,0.40,29.75,130 kWh,685.66,14-03-2017,12-04-2017,4.05,-14.44,-9.33,-361.46,T-0,409.76
2,74.83,,29.63,135 kWh,719.23,11-02-2017,14-03-2017,4.21,-14.38,-9.30,-379.15,T-0,425.07
3,74.52,,29.50,116 kWh,579.12,14-01-2017,11-02-2017,3.54,-14.32,-9.26,-305.28,T-0,357.82
4,74.24,,29.39,127 kWh,656.10,15-12-2016,14-01-2017,3.90,-14.26,-9.22,-345.88,T-0,394.27
5,73.93,,85.29,151 kWh,824.80,12-11-2016,15-12-2016,5.26,-14.21,-9.19,-435.02,T-0,530.86
6,73.63,,29.15,143 kWh,764.61,13-10-2016,12-11-2016,4.41,-14.15,-9.15,-403.08,T-0,445.42
7,73.34,,29.03,148 kWh,797.07,12-09-2016,13-10-2016,4.56,-14.09,-9.11,-420.19,T-0,460.61
8,73.04,,28.91,141 kWh,744.29,13-08-2016,12-09-2016,4.31,-14.03,-9.07,-392.38,T-0,435.07
9,72.75,,28.80,133 kWh,688.69,13-07-2016,13-08-2016,4.04,-13.98,-9.04,-363.12,T-0,408.14
10,73.20,,28.68,132 kWh,682.24,13-06-2016,13-07-2016,4.01,-14.68,-9.00,-359.77,T-0,404.68
11,72.90,,28.56,143 kWh,757.07,13-05-2016,13-06-2016,4.36,-14.62,-8.96,-399.24,T-0,440.07
