,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.71,4.41,86.25,152 kWh,884.62,08-09-2017,10-10-2017,5.57,-16.50,-8.68,-467.70,T-0,566.68
1,78.39,9.46,85.90,165 kWh,973.71,09-08-2017,08-09-2017,11.38,,,,T-0,"1,158.84"
2,78.07,0.62,29.36,144 kWh,817.81,10-07-2017,09-08-2017,4.68,-16.37,-8.61,-431.96,T-0,473.60
3,77.75,1.84,85.20,183 kWh,"1,093.62",09-06-2017,10-07-2017,12.57,,,,T-0,"1,270.98"
4,77.42,1.99,84.85,194 kWh,"1,149.51",10-05-2017,27-06-2017,13.12,,,,T-0,"1,326.89"
6,77.42,1.99,84.85,296 kWh,"1,858.28",10-05-2017,09-06-2017,20.21,,,,T-0,"2,042.75"
7,75.45,,29.87,115 kWh,578.63,08-04-2017,10-05-2017,3.55,-14.50,-9.37,-305.05,T-0,358.58
8,12.78,196.25,29.75,,,10-03-2017,08-04-2017,0.43,,,,T-0,239.21
9,12.73,0.93,29.63,4 kWh,9.70,08-02-2017,10-03-2017,0.35,-2.45,-9.30,-5.11,T-0,36.48
10,19.88,,29.50,64 kWh,267.08,11-01-2017,08-02-2017,1.63,-3.82,-9.26,-140.80,T-0,164.21
11,19.80,1.67,29.39,78 kWh,342.19,11-12-2016,11-01-2017,1.98,-3.81,-9.22,-180.39,T-0,201.61
12,16.14,,29.27,49 kWh,184.04,09-11-2016,11-12-2016,1.20,-3.10,-9.19,-97.02,T-0,121.34
13,12.52,211.68,29.15,2 kWh,4.77,10-10-2016,09-11-2016,0.32,-2.41,-9.15,-2.52,T-0,244.36
