,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,79.68,29.97,111 kWh,580.77,15-12-2017,15-01-2018,3.58,-16.71,-8.79,-306.74,T-0,361.76
1,79.36,29.85,128 kWh,708.97,13-11-2017,15-12-2017,4.18,-16.64,-8.76,-374.46,T-0,422.50
2,79.03,29.72,138 kWh,782.42,13-10-2017,13-11-2017,4.53,-16.57,-8.72,-413.27,T-0,457.14
3,78.71,29.60,122 kWh,657.31,12-09-2017,13-10-2017,3.93,-16.50,-8.68,-347.19,T-0,397.18
4,78.39,29.48,124 kWh,669.81,14-08-2017,12-09-2017,3.99,-16.43,-8.65,-353.77,T-0,402.82
5,78.07,29.36,149 kWh,856.15,13-07-2017,14-08-2017,4.86,-16.37,-8.61,-452.21,T-0,491.25
6,77.75,29.24,129 kWh,702.02,13-06-2017,13-07-2017,4.13,-16.30,-8.58,-370.78,T-0,417.48
7,77.42,29.12,149 kWh,839.73,13-05-2017,13-06-2017,4.78,-16.23,-8.54,-443.09,T-0,483.19
8,75.45,29.87,126 kWh,659.26,12-04-2017,13-05-2017,3.93,-14.50,-9.37,-347.55,T-0,397.09
9,75.13,29.75,117 kWh,591.09,14-03-2017,12-04-2017,3.61,-14.44,-9.33,-311.61,T-0,364.20
10,74.83,29.63,102 kWh,480.11,11-02-2017,14-03-2017,3.08,-14.38,-9.30,-253.10,T-0,310.87
11,19.88,29.50,88 kWh,398.18,14-01-2017,11-02-2017,2.25,-3.82,-9.26,-209.90,T-0,226.83
