,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,2.90,29.36,140 kWh,787.94,12-07-2017,12-08-2017,4.54,-16.37,-8.61,-416.18,T-0,461.65
1,77.75,1.43,29.24,134 kWh,739.53,12-06-2017,12-07-2017,4.31,-16.30,-8.58,-390.60,T-0,436.78
2,77.42,,29.12,116 kWh,594.22,12-05-2017,12-06-2017,3.62,-16.23,-8.54,-313.52,T-0,366.09
3,20.13,,29.87,98 kWh,458.23,11-04-2017,12-05-2017,2.53,-3.87,-9.37,-241.57,T-0,255.95
4,20.04,,29.75,86 kWh,390.37,13-03-2017,11-04-2017,2.21,-3.85,-9.33,-205.79,T-0,223.40
5,19.96,,29.63,81 kWh,361.44,10-02-2017,13-03-2017,2.07,-3.84,-9.30,-190.54,T-0,209.42
6,74.52,,29.50,113 kWh,557.38,13-01-2017,10-02-2017,3.44,-14.32,-9.26,-293.83,T-0,347.43
7,74.24,0.95,29.39,108 kWh,519.33,11-12-2016,13-01-2017,3.26,-14.26,-9.22,-273.78,T-0,329.91
8,19.73,,29.27,80 kWh,351.58,09-11-2016,11-12-2016,2.02,-3.79,-9.19,-185.35,T-0,204.27
9,19.64,0.64,29.15,63 kWh,258.48,10-10-2016,09-11-2016,1.58,-3.77,-9.15,-136.26,T-0,160.31
10,19.57,1.47,29.03,68 kWh,284.27,08-09-2016,10-10-2016,1.70,-3.76,-9.11,-149.86,T-0,173.31
11,73.04,,28.91,146 kWh,779.13,09-08-2016,08-09-2016,4.47,-14.03,-9.07,-410.74,T-0,451.71
