,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.39,,85.90,214 kWh,"1,325.13",15-08-2017,13-09-2017,10.56,-433.12,T-J,"1,066.86"
1,78.07,,85.55,212 kWh,"1,305.65",14-07-2017,15-08-2017,10.38,-431.43,T-J,"1,048.22"
2,77.75,,85.20,199 kWh,"1,207.96",14-06-2017,14-07-2017,9.41,-429.71,T-J,950.61
3,77.42,,84.85,206 kWh,"1,239.30",15-05-2017,14-06-2017,9.80,-421.34,T-J,990.03
4,75.45,1.46,87.02,206 kWh,"1,220.57",15-04-2017,15-05-2017,9.66,-417.05,T-J,977.11
5,75.13,2.86,86.66,217 kWh,"1,290.94",15-03-2017,15-04-2017,10.38,-415.23,T-J,"1,050.74"
6,74.83,,86.32,217 kWh,"1,266.64",12-02-2017,15-03-2017,10.14,-413.52,T-J,"1,024.41"
7,74.52,,85.96,164 kWh,893.71,15-01-2017,12-02-2017,6.42,-412.20,T-J,648.41
8,74.24,,85.64,186 kWh,"1,039.63",16-12-2016,15-01-2017,7.89,-410.57,T-J,796.83
9,73.93,,85.29,200 kWh,"1,129.95",15-11-2016,16-12-2016,8.80,-408.81,T-J,889.16
10,73.63,,84.93,197 kWh,"1,104.85",13-10-2016,15-11-2016,8.56,-407.02,T-J,864.95
11,73.34,,84.60,179 kWh,979.68,12-09-2016,13-10-2016,7.32,-405.40,T-J,739.54
