,Alumbrado Publico,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,107.80,142.62,256 kWh,"1,935.93",16-12-2017,15-01-2018,331.23,21.86,T-1,"2,539.44"
1,107.35,142.03,250 kWh,"1,882.77",14-11-2017,16-12-2017,323.02,21.32,T-1,"2,476.49"
2,106.91,141.44,299 kWh,"2,242.19",14-10-2017,14-11-2017,377.32,24.91,T-1,"2,892.77"
3,106.48,140.87,280 kWh,"2,091.16",13-09-2017,14-10-2017,354.29,23.39,T-1,"2,716.19"
4,106.04,140.29,301 kWh,"2,238.85",15-08-2017,13-09-2017,376.50,24.85,T-1,"2,886.53"
5,105.62,139.73,320 kWh,"2,370.66",14-07-2017,15-08-2017,396.33,26.16,T-1,"3,038.50"
6,105.18,139.15,293 kWh,"2,161.57",14-06-2017,14-07-2017,364.49,24.06,T-1,"2,794.45"
7,104.74,138.58,298 kWh,"2,162.67",15-05-2017,14-06-2017,364.51,24.06,T-1,"2,794.56"
8,102.06,142.14,262 kWh,"1,875.90",15-04-2017,15-05-2017,321.20,21.20,T-1,"2,462.50"
9,101.64,141.55,310 kWh,"2,210.43",15-03-2017,15-04-2017,371.72,24.54,T-1,"2,849.88"
10,101.24,140.98,359 kWh,"2,549.39",12-02-2017,15-03-2017,422.93,27.92,T-1,"3,242.46"
11,100.82,140.40,304 kWh,"2,149.88",15-01-2017,12-02-2017,362.25,23.91,T-1,"2,777.26"
