,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Tarifa:,Total
0,77.42,4.19,84.85,266 kWh,"1,648.16",09-05-2017,08-06-2017,18.10,T-0,"1,832.72"
1,75.45,4.85,87.02,264 kWh,"1,618.29",07-04-2017,09-05-2017,17.81,T-0,"1,803.42"
2,75.13,5.31,86.66,220 kWh,"1,310.00",09-03-2017,07-04-2017,14.72,T-0,"1,491.82"
3,74.83,1.88,86.32,212 kWh,"1,250.41",07-02-2017,09-03-2017,14.12,T-0,"1,427.56"
4,74.52,4.99,85.96,201 kWh,"1,170.52",10-01-2017,07-02-2017,13.31,T-0,"1,349.30"
5,74.24,,85.64,229 kWh,"1,355.82",10-12-2016,10-01-2017,15.16,T-0,"1,530.86"
6,73.93,4.77,85.29,236 kWh,"1,397.37",08-11-2016,10-12-2016,15.57,T-0,"1,576.93"
7,73.63,4.32,84.93,221 kWh,"1,290.68",08-10-2016,08-11-2016,14.49,T-0,"1,468.05"
8,73.34,4.21,84.60,234 kWh,"1,372.34",07-09-2016,08-10-2016,15.30,T-0,"1,549.79"
9,73.04,3.74,84.25,229 kWh,"1,333.35",08-08-2016,07-09-2016,14.91,T-0,"1,509.29"
10,72.75,4.33,83.91,243 kWh,"1,431.96",08-07-2016,08-08-2016,15.89,T-0,"1,608.84"
11,73.20,2.89,83.56,235 kWh,"1,376.52",08-06-2016,08-07-2016,15.33,T-0,"1,551.50"
