,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,77.75,6.18,85.20,464 kWh,"3,086.25",09-06-2017,10-07-2017,216.04,32.49,T-0,"3,503.91"
1,77.42,5.94,84.85,449 kWh,"2,921.66",10-05-2017,09-06-2017,204.52,30.84,T-0,"3,325.23"
2,196.53,,161.87,533 kWh,"3,603.55",08-04-2017,10-05-2017,252.25,39.62,T-0,"4,253.82"
3,75.13,2.89,86.66,476 kWh,"3,064.38",10-03-2017,08-04-2017,214.51,32.26,T-0,"3,475.83"
4,74.83,6.78,86.32,428 kWh,"2,724.96",08-02-2017,10-03-2017,190.75,28.86,T-0,"3,112.50"
5,74.52,4.90,85.96,337 kWh,"2,095.24",11-01-2017,08-02-2017,146.67,22.56,T-0,"2,429.85"
6,74.24,9.72,85.64,366 kWh,"2,283.91",11-12-2016,11-01-2017,159.87,24.44,T-0,"2,637.82"
7,73.93,8.71,85.29,416 kWh,"2,611.63",09-11-2016,11-12-2016,182.81,27.71,T-0,"2,990.08"
8,73.63,10.67,84.93,375 kWh,"2,325.21",10-10-2016,09-11-2016,162.76,24.84,T-0,"2,682.04"
9,73.34,11.99,84.60,403 kWh,"2,503.14",08-09-2016,10-10-2016,175.22,26.61,T-0,"2,874.90"
10,73.04,15.86,84.25,454 kWh,"2,832.24",09-08-2016,08-09-2016,198.26,29.90,T-0,"3,233.55"
11,189.49,5.73,156.07,668 kWh,"4,930.81",09-07-2016,09-08-2016,345.16,52.76,T-0,"5,680.02"
