,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,78.39,,85.90,188 kWh,"1,138.69",12-08-2017,11-09-2017,8.70,-433.12,T-J,878.56
1,78.07,,85.55,199 kWh,"1,212.51",12-07-2017,12-08-2017,9.45,-431.30,T-J,954.28
2,77.75,,85.20,171 kWh,"1,008.96",12-06-2017,12-07-2017,7.42,-429.79,T-J,749.54
3,77.42,,84.85,176 kWh,"1,027.40",12-05-2017,12-06-2017,7.68,-421.63,T-J,775.72
4,75.45,757.12,87.02,212 kWh,"1,261.16",11-04-2017,12-05-2017,10.07,-416.64,T-J,"1,774.18"
5,75.13,,86.66,196 kWh,"1,146.35",13-03-2017,11-04-2017,8.93,-415.10,T-J,901.97
6,74.83,,86.32,211 kWh,"1,222.98",10-02-2017,13-03-2017,9.71,-413.37,T-J,980.47
7,74.52,,85.96,160 kWh,866.21,13-01-2017,10-02-2017,6.15,-412.07,T-J,620.77
8,74.24,,85.64,175 kWh,964.76,14-12-2016,13-01-2017,7.14,-410.49,T-J,721.29
9,73.93,,85.29,205 kWh,"1,163.16",11-11-2016,14-12-2016,9.14,-408.50,T-J,923.02
10,73.63,,84.93,185 kWh,"1,023.75",12-10-2016,11-11-2016,7.75,-406.88,T-J,783.18
11,73.34,,84.60,204 kWh,"1,146.72",10-09-2016,12-10-2016,9.00,-405.05,T-J,908.61
