,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Subsidio a Jubilados con consumo menor 150kWh,Tarifa:,Total
0,77.42,,84.85,396 kWh,"2,565.28",15-05-2017,14-06-2017,150.30,23.09,-418.17,T-J,"2,482.77"
1,75.45,,87.02,413 kWh,"2,646.01",15-04-2017,15-05-2017,156.07,23.92,-416.45,T-J,"2,572.02"
2,75.13,,86.66,362 kWh,"2,285.31",15-03-2017,15-04-2017,130.94,20.32,-414.78,T-J,"2,183.58"
3,74.83,,86.32,406 kWh,"2,550.36",12-02-2017,15-03-2017,149.61,22.98,-413.06,T-J,"2,471.04"
4,74.52,0.99,85.96,342 kWh,"2,104.41",15-01-2017,12-02-2017,118.50,18.53,-411.52,T-J,"1,991.39"
5,74.24,2.64,85.64,360 kWh,"2,218.63",15-12-2016,15-01-2017,126.62,19.69,-409.82,T-J,"2,117.64"
6,73.93,4.30,85.29,460 kWh,"2,883.97",12-11-2016,15-12-2016,173.31,26.35,-408.12,T-J,"2,839.03"
7,73.63,5.18,84.93,389 kWh,"2,394.56",13-10-2016,12-11-2016,139.16,21.47,-406.49,T-J,"2,312.44"
8,73.34,2.25,84.60,456 kWh,"2,833.38",12-09-2016,13-10-2016,170.00,25.87,-404.82,T-J,"2,784.62"
9,73.04,4.96,84.25,406 kWh,"2,488.45",13-08-2016,12-09-2016,145.97,22.43,-403.20,T-J,"2,415.90"
10,72.75,4.34,83.91,447 kWh,"2,722.27",13-07-2016,13-08-2016,162.16,24.73,-405.74,T-J,"2,664.42"
11,73.20,1.15,83.56,401 kWh,"2,415.91",13-06-2016,13-07-2016,140.83,21.69,-404.06,T-J,"2,332.28"
