,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía Sustraída:,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,Regulacion INE,Subsidio Alumb. P�blico menor 150 kWh,Subsidio Comercializacion menor 150 kWh,Subsidio consumo menor 150 kWh,Tarifa:,Total
0,78.07,0.84,85.55,,208 kWh,"1,277.14",14-07-2017,15-08-2017,14.41,,,,T-0,"1,456.01"
1,77.75,1.10,85.20,,256 kWh,"1,612.35",14-06-2017,14-07-2017,17.75,,,,T-0,"1,794.15"
2,77.42,0.32,84.85,,173 kWh,"1,009.13",15-05-2017,14-06-2017,11.71,,,,T-0,"1,183.43"
3,75.45,0.58,29.87,,111 kWh,549.90,15-04-2017,15-05-2017,3.41,-14.50,-9.37,-289.90,T-0,345.44
5,75.13,0.95,29.75,,132 kWh,700.44,15-03-2017,15-04-2017,4.12,-14.44,-9.33,-369.25,T-0,417.37
6,74.83,0.22,29.63,,110 kWh,538.16,12-02-2017,15-03-2017,3.35,-14.38,-9.30,-283.71,T-0,338.80
7,19.88,,29.50,,93 kWh,425.55,15-01-2017,12-02-2017,2.38,-3.82,-9.26,-224.33,T-0,239.90
8,74.24,0.86,29.39,,134 kWh,706.48,15-12-2016,15-01-2017,4.14,-14.26,-9.22,-372.44,T-0,419.19
9,73.93,4.21,29.27,,120 kWh,603.25,12-11-2016,15-12-2016,3.65,-14.21,-9.19,-318.02,T-0,372.89
10,73.63,,29.15,,110 kWh,529.36,13-10-2016,12-11-2016,3.30,-14.15,-9.15,-279.05,T-0,333.09
11,73.34,3.11,29.03,,116 kWh,569.86,12-09-2016,13-10-2016,3.49,-14.09,-9.11,-300.41,T-0,355.22
12,73.04,,28.91,,114 kWh,553.35,13-08-2016,12-09-2016,3.40,-14.03,-9.07,-291.73,T-0,343.87
