,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,78.39,9.17,85.90,377 kWh,"2,490.28",12-08-2017,11-09-2017,174.32,26.55,T-0,"2,864.61"
1,78.07,8.44,85.55,373 kWh,"2,451.84",12-07-2017,12-08-2017,171.63,26.15,T-0,"2,821.68"
2,77.75,,85.20,303 kWh,"1,945.23",12-06-2017,12-07-2017,136.17,21.08,T-0,"2,265.43"
3,77.42,8.13,84.85,329 kWh,"2,092.93",12-05-2017,12-06-2017,146.51,22.55,T-0,"2,432.39"
4,75.45,7.30,87.02,342 kWh,"2,155.97",11-04-2017,12-05-2017,150.92,23.18,T-0,"2,499.84"
5,75.13,3.22,86.66,309 kWh,"1,920.94",13-03-2017,11-04-2017,134.47,20.83,T-0,"2,241.25"
6,74.83,3.16,86.32,319 kWh,"1,981.72",10-02-2017,13-03-2017,138.72,21.43,T-0,"2,306.18"
7,74.52,0.91,85.96,252 kWh,"1,517.87",13-01-2017,10-02-2017,,16.78,T-0,"1,696.04"
8,74.24,,85.64,292 kWh,"1,783.36",14-12-2016,13-01-2017,,19.43,T-0,"1,962.67"
9,73.93,4.57,85.29,349 kWh,"2,160.52",11-11-2016,14-12-2016,151.24,23.20,T-0,"2,498.75"
10,73.63,2.41,84.93,345 kWh,"2,124.34",12-10-2016,11-11-2016,148.70,22.83,T-0,"2,456.84"
11,73.34,11.04,84.60,365 kWh,"2,249.59",10-09-2016,12-10-2016,157.47,24.08,T-0,"2,600.12"
