,Alumbrado Publico,Cargos varios,Comercializacion,Csmo. Energía:,Energia (kWh),Fecha Factura Ant.:,Fecha Factura:,IVA,Regulacion INE,Tarifa:,Total
0,75.45,5.11,87.02,438 kWh,"2,816.75",11-04-2017,12-05-2017,197.17,29.79,T-0,"3,211.29"
1,75.13,3.90,86.66,377 kWh,"2,387.07",13-03-2017,11-04-2017,167.09,25.49,T-0,"2,745.34"
2,74.83,4.71,86.32,385 kWh,"2,432.39",10-02-2017,13-03-2017,170.27,25.94,T-0,"2,794.46"
3,74.52,6.91,85.96,351 kWh,"2,191.07",13-01-2017,10-02-2017,153.37,23.52,T-0,"2,535.35"
4,74.24,10.89,85.64,412 kWh,"2,596.35",14-12-2016,13-01-2017,181.74,27.56,T-0,"2,976.42"
5,73.93,5.83,85.29,465 kWh,"2,943.16",11-11-2016,14-12-2016,206.02,31.02,T-0,"3,345.25"
6,73.63,5.94,84.93,438 kWh,"2,749.11",12-10-2016,11-11-2016,192.44,29.08,T-0,"3,135.13"
7,73.34,8.03,84.60,448 kWh,"2,804.94",10-09-2016,12-10-2016,196.35,29.63,T-0,"3,196.89"
8,73.04,8.59,84.25,406 kWh,"2,513.35",12-08-2016,10-09-2016,175.93,26.71,T-0,"2,881.87"
9,72.75,5.44,83.91,433 kWh,"2,700.15",12-07-2016,12-08-2016,189.01,28.57,T-0,"3,079.83"
10,73.20,7.61,83.56,412 kWh,"2,559.43",11-06-2016,12-07-2016,179.16,27.16,T-0,"2,930.12"
11,72.90,7.75,83.22,386 kWh,"2,375.94",12-05-2016,11-06-2016,166.32,25.32,T-0,"2,731.45"
